"n","error","cell","rep","method","n_taxa","fdr","n_rej","tpr","fpr05","fpr01","ks","p_min","d0"
10,"gauss","null",1,"ols",500,0,0,NA,0.044,0.008,0.0230228651877671,0.000728639460138396,3.81203838862221
10,"gauss","null",1,"modt",500,0,0,NA,0.05,0.01,0.0206130744615708,0.00204995210700635,3.81203838862221
10,"gauss","null",1,"fl_199",500,0,0,NA,0.04,0.008,0.022,0.005,3.81203838862221
10,"gauss","null",1,"fl_999",500,0,0,NA,0.052,0.016,0.024,0.001,3.81203838862221
10,"gauss","null",1,"fl_9999",500,0,0,NA,0.05,0.018,0.0253,0.002,3.81203838862221
10,"gauss","null",1,"pvw_199",500,0,0,NA,0.05,0.002,0.0777738399252321,0.00718621514090371,3.81203838862221
10,"gauss","null",1,"pvt_199",500,1,13,NA,0.138,0.058,0.105870147867096,9.25299318565819e-11,3.81203838862221
10,"gauss","null",1,"mm_199",500,0,0,NA,0.042,0.016,0.12,0.000113732000663913,3.81203838862221
10,"gauss","null",1,"pvw_999",500,0,0,NA,0.058,0.002,0.0797466639666157,0.00607481726620966,3.81203838862221
10,"gauss","null",1,"pvt_999",500,1,12,NA,0.14,0.056,0.10764026482104,2.03252017634985e-10,3.81203838862221
10,"gauss","null",1,"mm_999",500,0,0,NA,0.046,0.016,0.214,0.000773228001178575,3.81203838862221
10,"gauss","null",2,"ols",500,0,0,NA,0.042,0.016,0.0471691105309517,0.000167906393254205,3.9008780483286
10,"gauss","null",2,"modt",500,0,0,NA,0.05,0.01,0.0497209056698608,0.000226952488986256,3.9008780483286
10,"gauss","null",2,"fl_199",500,0,0,NA,0.06,0.01,0.044,0.005,3.9008780483286
10,"gauss","null",2,"fl_999",500,0,0,NA,0.054,0.014,0.0399999999999999,0.001,3.9008780483286
10,"gauss","null",2,"fl_9999",500,0,0,NA,0.054,0.014,0.0411,2e-04,3.9008780483286
10,"gauss","null",2,"pvw_199",500,0,0,NA,0.062,0.008,0.0993439797221656,0.00413677391644912,3.9008780483286
10,"gauss","null",2,"pvt_199",500,1,10,NA,0.144,0.052,0.130460450656084,1.74825204249945e-17,3.9008780483286
10,"gauss","null",2,"mm_199",500,1,1,NA,0.062,0.018,0.152,2.94316146991507e-05,3.9008780483286
10,"gauss","null",2,"pvw_999",500,0,0,NA,0.052,0.004,0.0986062654783506,0.00434293863740192,3.9008780483286
10,"gauss","null",2,"pvt_999",500,1,10,NA,0.146,0.056,0.131336239371881,4.54258692718953e-17,3.9008780483286
10,"gauss","null",2,"mm_999",500,1,1,NA,0.056,0.016,0.316,3.84967175186891e-05,3.9008780483286
10,"gauss","null",3,"ols",500,0,0,NA,0.058,0.016,0.0383939281878833,0.00025496238564131,3.61176968501902
10,"gauss","null",3,"modt",500,0,0,NA,0.054,0.012,0.0547748527273718,0.00137889772527415,3.61176968501902
10,"gauss","null",3,"fl_199",500,0,0,NA,0.052,0.012,0.043,0.005,3.61176968501902
10,"gauss","null",3,"fl_999",500,0,0,NA,0.056,0.016,0.039,0.001,3.61176968501902
10,"gauss","null",3,"fl_9999",500,0,0,NA,0.056,0.018,0.0383,5e-04,3.61176968501902
10,"gauss","null",3,"pvw_199",500,0,0,NA,0.068,0.01,0.0999437358185751,0.00371872726415117,3.61176968501902
10,"gauss","null",3,"pvt_199",500,1,16,NA,0.138,0.066,0.13917242826904,9.44754867688985e-16,3.61176968501902
10,"gauss","null",3,"mm_199",500,1,4,NA,0.06,0.02,0.184,1.03247073422518e-07,3.61176968501902
10,"gauss","null",3,"pvw_999",500,0,0,NA,0.062,0.006,0.097615856326463,0.00570367380524573,3.61176968501902
10,"gauss","null",3,"pvt_999",500,1,17,NA,0.132,0.064,0.139306172210459,1.79772412117638e-15,3.61176968501902
10,"gauss","null",3,"mm_999",500,1,1,NA,0.066,0.016,0.364,5.5445760834589e-05,3.61176968501902
10,"gauss","null",4,"ols",500,0,0,NA,0.046,0.004,0.0442922262703233,0.000781550374836405,4.30395537907467
10,"gauss","null",4,"modt",500,0,0,NA,0.05,0.008,0.0426890581688708,0.00177575203348579,4.30395537907467
10,"gauss","null",4,"fl_199",500,0,0,NA,0.02,0,0.04,0.025,4.30395537907467
10,"gauss","null",4,"fl_999",500,0,0,NA,0.028,0,0.031,0.018,4.30395537907467
10,"gauss","null",4,"fl_9999",500,0,0,NA,0.034,0,0.0317000000000001,0.0185,4.30395537907467
10,"gauss","null",4,"pvw_199",500,0,0,NA,0.05,0.002,0.0679121357388983,0.00644120327743341,4.30395537907467
10,"gauss","null",4,"pvt_199",500,1,4,NA,0.126,0.048,0.0969939622262904,1.24610612990157e-11,4.30395537907467
10,"gauss","null",4,"mm_199",500,0,0,NA,0.046,0,0.13,0.0103994130790284,4.30395537907467
10,"gauss","null",4,"pvw_999",500,0,0,NA,0.052,0.002,0.0724607583270273,0.00654512788299699,4.30395537907467
