"n","error","cell","rep","method","fdr","tpr","fpr05","n_rej"
10,"gauss","null",1,"ols",0,NA,0.056,0
10,"gauss","null",1,"modt",0,NA,0.04,0
10,"gauss","null",1,"hc3",0,NA,0.026,0
10,"gauss","null",1,"modhc3",0,NA,0.03,0
10,"gauss","null",2,"ols",0,NA,0.076,0
10,"gauss","null",2,"modt",0,NA,0.074,0
10,"gauss","null",2,"hc3",0,NA,0.058,0
10,"gauss","null",2,"modhc3",0,NA,0.06,0
10,"gauss","null",3,"ols",0,NA,0.07,0
10,"gauss","null",3,"modt",0,NA,0.074,0
10,"gauss","null",3,"hc3",0,NA,0.046,0
10,"gauss","null",3,"modhc3",0,NA,0.04,0
10,"gauss","null",4,"ols",0,NA,0.042,0
10,"gauss","null",4,"modt",0,NA,0.06,0
10,"gauss","null",4,"hc3",0,NA,0.03,0
10,"gauss","null",4,"modhc3",0,NA,0.034,0
10,"gauss","null",5,"ols",0,NA,0.044,0
10,"gauss","null",5,"modt",0,NA,0.05,0
10,"gauss","null",5,"hc3",1,NA,0.088,1
10,"gauss","null",5,"modhc3",1,NA,0.094,5
10,"gauss","null",6,"ols",0,NA,0.042,0
10,"gauss","null",6,"modt",0,NA,0.038,0
10,"gauss","null",6,"hc3",0,NA,0.05,0
10,"gauss","null",6,"modhc3",0,NA,0.042,0
10,"gauss","null",7,"ols",0,NA,0.044,0
10,"gauss","null",7,"modt",0,NA,0.048,0
10,"gauss","null",7,"hc3",0,NA,0.036,0
10,"gauss","null",7,"modhc3",1,NA,0.04,1
10,"gauss","null",8,"ols",0,NA,0.048,0
10,"gauss","null",8,"modt",0,NA,0.062,0
10,"gauss","null",8,"hc3",0,NA,0.032,0
10,"gauss","null",8,"modhc3",0,NA,0.04,0
10,"gauss","null",9,"ols",0,NA,0.064,0
10,"gauss","null",9,"modt",0,NA,0.058,0
10,"gauss","null",9,"hc3",0,NA,0.044,0
10,"gauss","null",9,"modhc3",0,NA,0.04,0
10,"gauss","null",10,"ols",0,NA,0.044,0
10,"gauss","null",10,"modt",0,NA,0.04,0
10,"gauss","null",10,"hc3",0,NA,0.032,0
10,"gauss","null",10,"modhc3",0,NA,0.04,0
10,"gauss","null",11,"ols",0,NA,0.052,0
10,"gauss","null",11,"modt",0,NA,0.048,0
10,"gauss","null",11,"hc3",0,NA,0.03,0
10,"gauss","null",11,"modhc3",0,NA,0.032,0
10,"gauss","null",12,"ols",0,NA,0.044,0
10,"gauss","null",12,"modt",0,NA,0.024,0
10,"gauss","null",12,"hc3",0,NA,0.028,0
10,"gauss","null",12,"modhc3",0,NA,0.024,0
10,"gauss","null",13,"ols",0,NA,0.042,0
10,"gauss","null",13,"modt",0,NA,0.03,0
10,"gauss","null",13,"hc3",0,NA,0.02,0
10,"gauss","null",13,"modhc3",0,NA,0.028,0
10,"gauss","null",14,"ols",0,NA,0.06,0
10,"gauss","null",14,"modt",0,NA,0.056,0
10,"gauss","null",14,"hc3",0,NA,0.036,0
10,"gauss","null",14,"modhc3",0,NA,0.042,0
10,"gauss","null",15,"ols",0,NA,0.078,0
10,"gauss","null",15,"modt",0,NA,0.068,0
10,"gauss","null",15,"hc3",0,NA,0.06,0
10,"gauss","null",15,"modhc3",0,NA,0.05,0
10,"gauss","null",16,"ols",0,NA,0.048,0
10,"gauss","null",16,"modt",0,NA,0.052,0
10,"gauss","null",16,"hc3",0,NA,0.042,0
10,"gauss","null",16,"modhc3",0,NA,0.038,0
10,"gauss","null",17,"ols",0,NA,0.04,0
10,"gauss","null",17,"modt",1,NA,0.044,1
10,"gauss","null",17,"hc3",1,NA,0.042,1
10,"gauss","null",17,"modhc3",1,NA,0.038,1
10,"gauss","null",18,"ols",0,NA,0.046,0
10,"gauss","null",18,"modt",0,NA,0.044,0
10,"gauss","null",18,"hc3",0,NA,0.028,0
10,"gauss","null",18,"modhc3",0,NA,0.02,0
10,"gauss","null",19,"ols",1,NA,0.046,2
10,"gauss","null",19,"modt",1,NA,0.044,2
10,"gauss","null",19,"hc3",1,NA,0.026,1
10,"gauss","null",19,"modhc3",1,NA,0.014,1
10,"gauss","null",20,"ols",0,NA,0.054,0
10,"gauss","null",20,"modt",0,NA,0.052,0
10,"gauss","null",20,"hc3",0,NA,0.044,0
10,"gauss","null",20,"modhc3",0,NA,0.04,0
20,"gauss","null",1,"ols",1,NA,0.042,1
20,"gauss","null",1,"modt",1,NA,0.044,1
20,"gauss","null",1,"hc3",1,NA,0.048,1
20,"gauss","null",1,"modhc3",1,NA,0.046,1
20,"gauss","null",2,"ols",0,NA,0.048,0
20,"gauss","null",2,"modt",0,NA,0.046,0
20,"gauss","null",2,"hc3",0,NA,0.028,0
20,"gauss","null",2,"modhc3",0,NA,0.028,0
20,"gauss","null",3,"ols",0,NA,0.042,0
20,"gauss","null",3,"modt",0,NA,0.042,0
20,"gauss","null",3,"hc3",0,NA,0.032,0
20,"gauss","null",3,"modhc3",0,NA,0.034,0
20,"gauss","null",4,"ols",0,NA,0.04,0
20,"gauss","null",4,"modt",0,NA,0.038,0
20,"gauss","null",4,"hc3",0,NA,0.034,0
20,"gauss","null",4,"modhc3",0,NA,0.03,0
20,"gauss","null",5,"ols",0,NA,0.044,0
20,"gauss","null",5,"modt",0,NA,0.044,0
