"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
20,1,"poisson",1,"naive",244,0,0,0,0.0194174757281553,0,0,0.0833333333333333
20,1,"poisson",1,"depthcov",244,0,0,0,0.0194174757281553,0,0,0.0833333333333333
20,1,"poisson",1,"er_lm",244,0,0,0.0384615384615385,0.0388349514563107,0.214285714285714,0.166666666666667,0.333333333333333
20,1,"poisson",1,"abund_lm",182,62,0,0,0.0382165605095541,0,0.25,0
20,1,"poisson",1,"occ_depth",244,0,0,0,0.0825242718446602,0.357142857142857,0,0.333333333333333
20,1,"poisson",1,"occ_full",244,0,0,0,0.0776699029126214,0.428571428571429,0,0.333333333333333
20,1,"poisson",1,"occ_cal",244,0,0,0,0.0728155339805825,0.428571428571429,0,0.333333333333333
20,1,"poisson",1,"abund_trunc",182,62,0,0,0.089171974522293,0,0.375,0
20,1,"poisson",1,"occ_trunc",244,0,0,0,0.0776699029126214,0.428571428571429,0,0.333333333333333
20,1,"poisson",1,"abund_ztnb",182,62,0,0,0.114649681528662,0,0.375,0
20,1,"poisson",1,"occ_ztnb",182,62,0,0,0.0700636942675159,0.181818181818182,0,0.166666666666667
20,1,"poisson",1,"lm_pseudo",244,0,0,0,0.0436893203883495,0.0714285714285714,0.166666666666667,0.25
20,1,"poisson",1,"lm_pseudo_depth",244,0,0,0,0.0631067961165049,0.142857142857143,0.166666666666667,0.333333333333333
20,1,"poisson",1,"abund_lm_depth",182,62,0,0,0.0828025477707006,0,0.25,0
20,1,"poisson",1,"zip",235,9,0,0,0.00495049504950495,0,0,0.111111111111111
20,1,"poisson",1,"lm_pseudo_mc",244,0,0,0,0.0485436893203883,0.142857142857143,0.166666666666667,0.333333333333333
50,1,"poisson",1,"naive",287,0,0,0,0.0486725663716814,0.357142857142857,0.0869565217391304,0.375
50,1,"poisson",1,"depthcov",287,0,0,0,0.0486725663716814,0.357142857142857,0.0869565217391304,0.375
50,1,"poisson",1,"er_lm",287,0,0.125,0.184210526315789,0.0486725663716814,0.285714285714286,0.173913043478261,0.583333333333333
50,1,"poisson",1,"abund_lm",272,15,0.142857142857143,0.13953488372093,0.032258064516129,0.0833333333333333,0.272727272727273,0.666666666666667
50,1,"poisson",1,"occ_depth",287,0,0.285714285714286,0.131578947368421,0.0707964601769911,0.357142857142857,0.0869565217391304,0.416666666666667
50,1,"poisson",1,"occ_full",287,0,0.428571428571429,0.105263157894737,0.0575221238938053,0.357142857142857,0.0434782608695652,0.458333333333333
50,1,"poisson",1,"occ_cal",287,0,0,0.0263157894736842,0.0575221238938053,0.428571428571429,0.0434782608695652,0.333333333333333
50,1,"poisson",1,"abund_trunc",272,15,0.125,0.162790697674419,0.0368663594470046,0.0833333333333333,0.318181818181818,0.714285714285714
50,1,"poisson",1,"occ_trunc",287,0,0.4,0.0789473684210526,0.0619469026548673,0.357142857142857,0.0434782608695652,0.458333333333333
50,1,"poisson",1,"abund_ztnb",270,17,0.25,0.13953488372093,0.0972222222222222,0.0909090909090909,0.318181818181818,0.714285714285714
50,1,"poisson",1,"occ_ztnb",272,15,1,0,0.0737327188940092,0.416666666666667,0.0454545454545455,0.428571428571429
50,1,"poisson",1,"lm_pseudo",287,0,0.3,0.148936170212766,0.0486725663716814,0.357142857142857,0.130434782608696,0.458333333333333
50,1,"poisson",1,"lm_pseudo_depth",287,0,0.272727272727273,0.170212765957447,0.0575221238938053,0.357142857142857,0.173913043478261,0.5
50,1,"poisson",1,"abund_lm_depth",272,15,0,0.0930232558139535,0.0460829493087558,0,0.227272727272727,0.666666666666667
50,1,"poisson",1,"zip",285,2,0,0,0.0488888888888889,0.285714285714286,0,0.304347826086957
50,1,"poisson",1,"lm_pseudo_mc",287,0,0.333333333333333,0.127659574468085,0.0442477876106195,0.357142857142857,0.173913043478261,0.5
100,1,"poisson",1,"naive",299,0,0,0.138888888888889,0.0619834710743802,0.526315789473684,0.19047619047619,0.529411764705882
100,1,"poisson",1,"depthcov",299,0,0,0.111111111111111,0.0371900826446281,0.578947368421053,0.19047619047619,0.588235294117647
100,1,"poisson",1,"er_lm",299,0,0.2,0.222222222222222,0.0537190082644628,0.526315789473684,0.428571428571429,0.470588235294118
100,1,"poisson",1,"abund_lm",294,5,0.0714285714285714,0.342105263157895,0.0886075949367089,0.105263157894737,0.523809523809524,0.588235294117647
100,1,"poisson",1,"occ_depth",299,0,0,0.166666666666667,0.0537190082644628,0.631578947368421,0.238095238095238,0.588235294117647
100,1,"poisson",1,"occ_full",299,0,0,0.194444444444444,0.0661157024793388,0.631578947368421,0.0952380952380952,0.588235294117647
100,1,"poisson",1,"occ_cal",299,0,0,0.222222222222222,0.0785123966942149,0.526315789473684,0.142857142857143,0.529411764705882
100,1,"poisson",1,"abund_trunc",294,5,0.125,0.368421052631579,0.0928270042194093,0.157894736842105,0.571428571428571,0.588235294117647
100,1,"poisson",1,"occ_trunc",299,0,0,0.194444444444444,0.0826446280991736,0.631578947368421,0.0952380952380952,0.588235294117647
100,1,"poisson",1,"abund_ztnb",294,5,0,0.421052631578947,0.0928270042194093,0.105263157894737,0.666666666666667,0.529411764705882
100,1,"poisson",1,"occ_ztnb",294,5,0.466666666666667,0.222222222222222,0.0886075949367089,0.526315789473684,0.0952380952380952,0.529411764705882
100,1,"poisson",1,"lm_pseudo",299,0,0.333333333333333,0.315789473684211,0.111570247933884,0.684210526315789,0.619047619047619,0.470588235294118
100,1,"poisson",1,"lm_pseudo_depth",299,0,0.363636363636364,0.184210526315789,0.0289256198347107,0.526315789473684,0.571428571428571,0.529411764705882
100,1,"poisson",1,"abund_lm_depth",294,5,0.0714285714285714,0.342105263157895,0.0506329113924051,0.105263157894737,0.476190476190476,0.529411764705882
100,1,"poisson",1,"zip",298,1,0,0.166666666666667,0.0663900414937759,0.473684210526316,0.0952380952380952,0.470588235294118
100,1,"poisson",1,"lm_pseudo_mc",299,0,0.25,0.236842105263158,0.0330578512396694,0.421052631578947,0.523809523809524,0.529411764705882
