"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
20,1,"poisson",1,"naive",244,0,0,0,0.0194174757281553,0,0,0.0833333333333333
20,1,"poisson",1,"depthcov",244,0,0,0,0.0194174757281553,0,0,0.0833333333333333
20,1,"poisson",1,"er_lm",244,0,0,0.0384615384615385,0.0388349514563107,0.214285714285714,0.166666666666667,0.333333333333333
20,1,"poisson",1,"abund_ztnb_t",180,64,0,0,0.0705128205128205,0,0.25,0.166666666666667
20,1,"poisson",1,"abund_ztnb",182,62,0,0,0.114649681528662,0,0.375,0
20,1,"poisson",1,"abund_lm_depth",182,62,0,0,0.0828025477707006,0,0.25,0
20,1,"poisson",1,"abund_lm",182,62,0,0,0.0382165605095541,0,0.25,0
20,1,"poisson",1,"occ_depth",244,0,0,0,0.0825242718446602,0.357142857142857,0,0.333333333333333
20,1,"poisson",1,"occ_full",244,0,0,0,0.0776699029126214,0.428571428571429,0,0.333333333333333
20,1,"poisson",1,"occ_lmd",244,0,0,0,0.0728155339805825,0.428571428571429,0,0.333333333333333
20,1,"poisson",1,"occ_lmd_lN",244,0,0,0,0.0922330097087379,0.5,0,0.333333333333333
20,1,"poisson",1,"occ_ztnb",182,62,0,0,0.0700636942675159,0.181818181818182,0,0.166666666666667
20,1,"poisson",1,"occ_ztnb_lN",182,62,0,0,0.089171974522293,0.181818181818182,0,0.166666666666667
20,1,"poisson",1,"zip",235,9,0,0,0.00495049504950495,0,0,0.111111111111111
20,1,"poisson",1,"zinb",0,244,0,NA,NA,NA,NA,NA
50,1,"poisson",1,"naive",287,0,0,0,0.0486725663716814,0.357142857142857,0.0869565217391304,0.375
50,1,"poisson",1,"depthcov",287,0,0,0,0.0486725663716814,0.357142857142857,0.0869565217391304,0.375
50,1,"poisson",1,"er_lm",287,0,0.125,0.184210526315789,0.0486725663716814,0.285714285714286,0.173913043478261,0.583333333333333
50,1,"poisson",1,"abund_ztnb_t",270,17,0.166666666666667,0.119047619047619,0.0740740740740741,0.0833333333333333,0.318181818181818,0.7
50,1,"poisson",1,"abund_ztnb",272,15,0.25,0.13953488372093,0.0967741935483871,0.0833333333333333,0.318181818181818,0.714285714285714
50,1,"poisson",1,"abund_lm_depth",272,15,0,0.0930232558139535,0.0460829493087558,0,0.227272727272727,0.666666666666667
50,1,"poisson",1,"abund_lm",272,15,0.142857142857143,0.13953488372093,0.032258064516129,0.0833333333333333,0.272727272727273,0.666666666666667
50,1,"poisson",1,"occ_depth",287,0,0.285714285714286,0.131578947368421,0.0707964601769911,0.357142857142857,0.0869565217391304,0.416666666666667
50,1,"poisson",1,"occ_full",287,0,0.428571428571429,0.105263157894737,0.0575221238938053,0.357142857142857,0.0434782608695652,0.458333333333333
50,1,"poisson",1,"occ_lmd",287,0,0.2,0.105263157894737,0.0619469026548673,0.357142857142857,0.0434782608695652,0.458333333333333
50,1,"poisson",1,"occ_lmd_lN",287,0,0.2,0.105263157894737,0.0707964601769911,0.428571428571429,0.0434782608695652,0.458333333333333
50,1,"poisson",1,"occ_ztnb",272,15,1,0,0.0737327188940092,0.416666666666667,0.0454545454545455,0.428571428571429
50,1,"poisson",1,"occ_ztnb_lN",272,15,0.75,0.0303030303030303,0.0921658986175115,0.416666666666667,0.136363636363636,0.428571428571429
50,1,"poisson",1,"zip",285,2,0,0,0.0488888888888889,0.285714285714286,0,0.304347826086957
50,1,"poisson",1,"zinb",281,6,0,0,0.0226244343891403,0.214285714285714,0,0.217391304347826
100,1,"poisson",1,"naive",299,0,0,0.138888888888889,0.0619834710743802,0.526315789473684,0.19047619047619,0.529411764705882
100,1,"poisson",1,"depthcov",299,0,0,0.111111111111111,0.0371900826446281,0.578947368421053,0.19047619047619,0.588235294117647
100,1,"poisson",1,"er_lm",299,0,0.2,0.222222222222222,0.0537190082644628,0.526315789473684,0.428571428571429,0.470588235294118
100,1,"poisson",1,"abund_ztnb_t",289,10,0.0588235294117647,0.421052631578947,0.0818965517241379,0.157894736842105,0.666666666666667,0.588235294117647
100,1,"poisson",1,"abund_ztnb",294,5,0,0.421052631578947,0.0928270042194093,0.105263157894737,0.666666666666667,0.529411764705882
100,1,"poisson",1,"abund_lm_depth",294,5,0.0714285714285714,0.342105263157895,0.0506329113924051,0.105263157894737,0.476190476190476,0.529411764705882
100,1,"poisson",1,"abund_lm",294,5,0.0714285714285714,0.342105263157895,0.0886075949367089,0.105263157894737,0.523809523809524,0.588235294117647
100,1,"poisson",1,"occ_depth",299,0,0,0.166666666666667,0.0537190082644628,0.631578947368421,0.238095238095238,0.588235294117647
100,1,"poisson",1,"occ_full",299,0,0,0.194444444444444,0.0661157024793388,0.631578947368421,0.0952380952380952,0.588235294117647
100,1,"poisson",1,"occ_lmd",299,0,0,0.194444444444444,0.0702479338842975,0.631578947368421,0.0952380952380952,0.588235294117647
100,1,"poisson",1,"occ_lmd_lN",299,0,0,0.166666666666667,0.0495867768595041,0.578947368421053,0.0952380952380952,0.529411764705882
100,1,"poisson",1,"occ_ztnb",294,5,0.466666666666667,0.222222222222222,0.0886075949367089,0.526315789473684,0.0952380952380952,0.529411764705882
100,1,"poisson",1,"occ_ztnb_lN",294,5,0.444444444444444,0.138888888888889,0.0843881856540084,0.526315789473684,0.0952380952380952,0.411764705882353
100,1,"poisson",1,"zip",298,1,0,0.166666666666667,0.0663900414937759,0.473684210526316,0.0952380952380952,0.470588235294118
100,1,"poisson",1,"zinb",294,5,0,0.0833333333333333,0.0168776371308017,0.368421052631579,0,0.176470588235294
20,2,"poisson",1,"naive",262,0,0,0,0.0506912442396313,0.105263157894737,0,0.111111111111111
20,2,"poisson",1,"depthcov",262,0,0,0,0.00921658986175115,0.105263157894737,0,0
20,2,"poisson",1,"er_lm",262,0,0,0,0.0552995391705069,0.157894736842105,0.117647058823529,0.222222222222222
20,2,"poisson",1,"abund_ztnb_t",197,65,0,0,0.096969696969697,0,0.230769230769231,0.142857142857143
20,2,"poisson",1,"abund_ztnb",198,64,0,0,0.114457831325301,0.25,0.384615384615385,0.142857142857143
