"pi1","balance","comm","bloom","effect","rep","method","n_eval","shift","bias_null","rmse_all","type1","power","fdr","tpr","ci_cov","ref_purity"
0.05,"balanced","even",FALSE,"fixed",1,"none",300,-0.00244853013107438,-0.00272951452593508,0.205761893036358,0.0385964912280702,0.933333333333333,0.0714285714285714,0.866666666666667,0.956666666666667,NA
0.05,"balanced","even",FALSE,"fixed",1,"clr",300,-0.00244853013107438,-0.0034592039983987,0.205772419861512,0.0456140350877193,1,0,0.866666666666667,0.946666666666667,NA
0.05,"balanced","even",FALSE,"fixed",1,"median",300,-0.00244853013107438,0.00735743483157588,0.20588146474539,0.0456140350877193,1,0.0714285714285714,0.866666666666667,0.95,NA
0.05,"balanced","even",FALSE,"fixed",1,"mode",300,-0.00244853013107438,0.0405593951703135,0.20972951275547,0.0526315789473684,0.933333333333333,0.0714285714285714,0.866666666666667,0.943333333333333,NA
0.05,"balanced","even",FALSE,"fixed",1,"huber",300,-0.00244853013107438,0.00468304141909355,0.205801611509688,0.0456140350877193,0.933333333333333,0.0714285714285714,0.866666666666667,0.95,NA
0.05,"balanced","even",FALSE,"fixed",1,"enull",300,-0.00244853013107438,0.0047676485004946,0.205803605882829,0.0456140350877193,0.933333333333333,0.0714285714285714,0.866666666666667,0.95,NA
0.05,"balanced","even",FALSE,"fixed",1,"dacomp",240,-0.00244853013107438,-0.0158706555520333,0.217678702256785,0.0442477876106195,0.928571428571429,0,0.857142857142857,0.95,0.983333333333333
0.05,"balanced","even",FALSE,"fixed",1,"adapt",150,-0.00244853013107438,0.0547578346487049,0.283847897223479,0.111111111111111,0.933333333333333,0.0714285714285714,0.866666666666667,0.886666666666667,1
0.05,"balanced","even",FALSE,"fixed",1,"oracle",300,-0.00244853013107438,-0.00517804465700946,0.205807439434526,0.0385964912280702,0.933333333333333,0,0.866666666666667,0.953333333333333,NA
0.2,"balanced","even",FALSE,"fixed",1,"none",300,0.00816848257690062,-0.0134428438125508,0.181584454501218,0.0375,1,0.032258064516129,1,0.966666666666667,NA
0.2,"balanced","even",FALSE,"fixed",1,"clr",300,0.00816848257690062,-0.0202334084668754,0.182204349383744,0.0333333333333333,1,0.0476190476190476,1,0.966666666666667,NA
0.2,"balanced","even",FALSE,"fixed",1,"median",300,0.00816848257690062,-0.000869557916627568,0.181104471564,0.0333333333333333,1,0.032258064516129,1,0.97,NA
0.2,"balanced","even",FALSE,"fixed",1,"mode",300,0.00816848257690062,0.0332859375678941,0.184179183115118,0.0416666666666667,1,0.0163934426229508,1,0.963333333333333,NA
0.2,"balanced","even",FALSE,"fixed",1,"huber",300,0.00816848257690062,0.00308763510490573,0.181133802104298,0.0333333333333333,1,0.032258064516129,1,0.97,NA
0.2,"balanced","even",FALSE,"fixed",1,"enull",300,0.00816848257690062,0.0108641834028804,0.181443052993663,0.0333333333333333,1,0.0163934426229508,1,0.97,NA
0.2,"balanced","even",FALSE,"fixed",1,"dacomp",240,0.00816848257690062,-0.0398600538798281,0.193255304424604,0.0315789473684211,1,0.0384615384615385,1,0.966666666666667,0.833333333333333
0.2,"balanced","even",FALSE,"fixed",1,"adapt",150,0.00816848257690062,0.0205617267116749,0.242088728592264,0.0777777777777778,1,0.0625,1,0.946666666666667,1
0.2,"balanced","even",FALSE,"fixed",1,"oracle",300,0.00816848257690062,-0.00527436123565022,0.181173497342107,0.0333333333333333,1,0.032258064516129,1,0.97,NA
0.4,"balanced","even",FALSE,"fixed",1,"none",300,0.284574839976897,-0.246959527273738,0.309799909756105,0.305555555555556,0.991666666666667,0.233766233766234,0.983333333333333,0.72,NA
0.4,"balanced","even",FALSE,"fixed",1,"clr",300,0.284574839976897,-0.0223247381148832,0.198808788890762,0.0555555555555556,1,0.0327868852459016,0.983333333333333,0.943333333333333,NA
0.4,"balanced","even",FALSE,"fixed",1,"median",300,0.284574839976897,0.00305760163595754,0.198726785607987,0.0555555555555556,1,0.0327868852459016,0.983333333333333,0.94,NA
0.4,"balanced","even",FALSE,"fixed",1,"mode",300,0.284574839976897,0.0167867799888792,0.200029176803015,0.05,0.991666666666667,0.0247933884297521,0.983333333333333,0.94,NA
0.4,"balanced","even",FALSE,"fixed",1,"huber",300,0.284574839976897,0.0014847074860554,0.198637624056162,0.0555555555555556,1,0.0327868852459016,0.983333333333333,0.94,NA
0.4,"balanced","even",FALSE,"fixed",1,"enull",300,0.284574839976897,0.0150253024777495,0.199809807041628,0.05,0.991666666666667,0.0247933884297521,0.983333333333333,0.943333333333333,NA
0.4,"balanced","even",FALSE,"fixed",1,"dacomp",240,0.284574839976897,0.0326528274055235,0.214430893723108,0.062015503875969,0.990990990990991,0.0353982300884956,0.981981981981982,0.929166666666667,0.85
0.4,"balanced","even",FALSE,"fixed",1,"adapt",150,0.284574839976897,0.0388637901666739,0.251596500696579,0.3,0.991666666666667,0.062992125984252,0.991666666666667,0.886666666666667,1
0.4,"balanced","even",FALSE,"fixed",1,"oracle",300,0.284574839976897,0.0376153127031593,0.203762957568674,0.0555555555555556,0.983333333333333,0.025,0.975,0.936666666666667,NA
0.05,"all_up","even",FALSE,"fixed",1,"none",300,0.0388783070448255,-0.0150189409561333,0.169322216507764,0.0350877192982456,1,0.0666666666666667,0.933333333333333,0.966666666666667,NA
0.05,"all_up","even",FALSE,"fixed",1,"clr",300,0.0388783070448255,-0.0496003311892189,0.175875750107733,0.0385964912280702,1,0.125,0.933333333333333,0.963333333333333,NA
0.05,"all_up","even",FALSE,"fixed",1,"median",300,0.0388783070448255,-0.0170736966358843,0.169521674059663,0.0315789473684211,1,0.0666666666666667,0.933333333333333,0.97,NA
0.05,"all_up","even",FALSE,"fixed",1,"mode",300,0.0388783070448255,-0.0271406539823864,0.170853003647901,0.0350877192982456,1,0.0666666666666667,0.933333333333333,0.966666666666667,NA
0.05,"all_up","even",FALSE,"fixed",1,"huber",300,0.0388783070448255,-0.012083709800441,0.169080200548465,0.0385964912280702,1,0.0666666666666667,0.933333333333333,0.963333333333333,NA
0.05,"all_up","even",FALSE,"fixed",1,"enull",300,0.0388783070448255,0.00407036783823585,0.168658689391647,0.0315789473684211,1,0.0625,1,0.97,NA
0.05,"all_up","even",FALSE,"fixed",1,"dacomp",240,0.0388783070448255,-0.048575650776707,0.179333617689348,0.0393013100436681,1,0,0.909090909090909,0.9625,0.933333333333333
0.05,"all_up","even",FALSE,"fixed",1,"adapt",150,0.0388783070448255,-0.0319575428134676,0.229272100918115,0.0666666666666667,1,0.117647058823529,1,0.94,1
0.05,"all_up","even",FALSE,"fixed",1,"oracle",300,0.0388783070448255,0.0238593660886922,0.170242876127987,0.0280701754385965,1,0.0625,1,0.973333333333333,NA
0.2,"all_up","even",FALSE,"fixed",1,"none",300,0.305036383457652,-0.265351333669528,0.337278213501613,0.295833333333333,0.933333333333333,0.368421052631579,0.8,0.666666666666667,NA
0.2,"all_up","even",FALSE,"fixed",1,"clr",300,0.305036383457652,-0.185985677869161,0.275157089063812,0.1625,0.983333333333333,0.17910447761194,0.916666666666667,0.81,NA
0.2,"all_up","even",FALSE,"fixed",1,"median",300,0.305036383457652,-0.0681026541845705,0.206045192764248,0.0708333333333333,1,0.0645161290322581,0.966666666666667,0.923333333333333,NA
0.2,"all_up","even",FALSE,"fixed",1,"mode",300,0.305036383457652,-0.0165986682935348,0.19143818544061,0.0625,1,0.0483870967741935,0.983333333333333,0.94,NA
0.2,"all_up","even",FALSE,"fixed",1,"huber",300,0.305036383457652,-0.0811418435966842,0.211580054679155,0.0666666666666667,1,0.0645161290322581,0.966666666666667,0.926666666666667,NA
0.2,"all_up","even",FALSE,"fixed",1,"enull",300,0.305036383457652,-0.0106266639505319,0.190574399794759,0.0666666666666667,1,0.0483870967741935,0.983333333333333,0.936666666666667,NA
0.2,"all_up","even",FALSE,"fixed",1,"dacomp",240,0.305036383457652,-0.121807536941458,0.237758418422545,0.0789473684210526,1,0.111111111111111,0.96,0.9125,0.833333333333333
0.2,"all_up","even",FALSE,"fixed",1,"adapt",150,0.305036383457652,-0.105555935002731,0.259291639337801,0.144444444444444,1,0.0909090909090909,1,0.886666666666667,1
0.2,"all_up","even",FALSE,"fixed",1,"oracle",300,0.305036383457652,0.0396850497881242,0.190710277438121,0.0583333333333333,1,0.0625,1,0.943333333333333,NA
0.4,"all_up","even",FALSE,"fixed",1,"none",300,0.442548902514474,-0.420772510187261,0.487918574591219,0.588888888888889,0.791666666666667,0.511494252873563,0.708333333333333,0.353333333333333,NA
0.4,"all_up","even",FALSE,"fixed",1,"clr",300,0.442548902514474,-0.373695159810945,0.445181286906379,0.488888888888889,0.833333333333333,0.43452380952381,0.791666666666667,0.44,NA
0.4,"all_up","even",FALSE,"fixed",1,"median",300,0.442548902514474,-0.191045684299477,0.292280051845931,0.15,0.95,0.125,0.933333333333333,0.793333333333333,NA
0.4,"all_up","even",FALSE,"fixed",1,"mode",300,0.442548902514474,-0.0228442936451207,0.201499418282708,0.0611111111111111,1,0.056,0.983333333333333,0.93,NA
0.4,"all_up","even",FALSE,"fixed",1,"huber",300,0.442548902514474,-0.238541081423313,0.329134836208999,0.194444444444444,0.933333333333333,0.149606299212598,0.9,0.743333333333333,NA
0.4,"all_up","even",FALSE,"fixed",1,"enull",300,0.442548902514474,-0.0149704622242091,0.199724882778602,0.0611111111111111,1,0.0403225806451613,0.991666666666667,0.933333333333333,NA
0.4,"all_up","even",FALSE,"fixed",1,"dacomp",240,0.442548902514474,-0.385498906912481,0.460221271941408,0.451388888888889,0.791666666666667,0.432,0.739583333333333,0.475,0.6
0.4,"all_up","even",FALSE,"fixed",1,"adapt",150,0.442548902514474,-0.38743466023485,0.27748328578087,0.333333333333333,0.991452991452991,0.0793650793650794,0.991452991452991,0.82,0.98
0.4,"all_up","even",FALSE,"fixed",1,"oracle",300,0.442548902514474,0.0217763923272133,0.195465815557753,0.0611111111111111,1,0.04,1,0.95,NA
0.05,"balanced","dominant",FALSE,"fixed",1,"none",300,0.200898813167428,-0.188930435932439,0.265493217200077,0.175438596491228,1,0.25,0.8,0.82,NA
0.05,"balanced","dominant",FALSE,"fixed",1,"clr",300,0.200898813167428,-0.0125193688521428,0.189308115117215,0.0491228070175439,1,0,0.866666666666667,0.95,NA
0.05,"balanced","dominant",FALSE,"fixed",1,"median",300,0.200898813167428,0.0059180717515974,0.189232008003864,0.0421052631578947,1,0,0.866666666666667,0.956666666666667,NA
0.05,"balanced","dominant",FALSE,"fixed",1,"mode",300,0.200898813167428,0.0202802822251398,0.190413724658908,0.0421052631578947,0.933333333333333,0,0.866666666666667,0.956666666666667,NA
0.05,"balanced","dominant",FALSE,"fixed",1,"huber",300,0.200898813167428,-3.41615821434466e-05,0.189060145732535,0.0421052631578947,1,0,0.866666666666667,0.956666666666667,NA
