"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
20,1,"poisson",1,"naive",260,0,0,0,0.0252525252525253,0.0476190476190476,0.148148148148148,0.0714285714285714
20,1,"poisson",1,"depthcov",260,0,0,0,0.0202020202020202,0.0476190476190476,0.037037037037037,0.0714285714285714
20,1,"poisson",1,"jzi_prev",260,0,0,0,0.0151515151515152,0.0952380952380952,0.111111111111111,0
20,1,"poisson",1,"jzi_abund",260,0,0.571428571428571,0.0731707317073171,0.171717171717172,0.142857142857143,0.518518518518518,0.142857142857143
20,1,"poisson",1,"zinb",0,260,0,NA,NA,NA,NA,NA
20,1,"poisson",1,"abund_lm_depth",204,56,0,0,0.0764331210191083,0.0625,0.166666666666667,0.142857142857143
50,1,"poisson",1,"naive",291,0,0,0.0666666666666667,0.040983606557377,0.333333333333333,0,0.444444444444444
50,1,"poisson",1,"depthcov",291,0,0,0,0.0286885245901639,0.416666666666667,0,0.333333333333333
50,1,"poisson",1,"jzi_prev",291,0,0,0.0666666666666667,0.040983606557377,0.416666666666667,0,0.333333333333333
50,1,"poisson",1,"jzi_abund",291,0,0.2,0.114285714285714,0.114754098360656,0.0833333333333333,0.294117647058824,0.277777777777778
50,1,"poisson",1,"zinb",281,10,0,0,0.0167364016736402,0.363636363636364,0,0.125
50,1,"poisson",1,"abund_lm_depth",277,14,0,0,0.051063829787234,0,0.4,0.1875
100,1,"poisson",1,"naive",298,0,0.272727272727273,0.216216216216216,0.0508474576271186,0.526315789473684,0.16,0.388888888888889
100,1,"poisson",1,"depthcov",298,0,0.272727272727273,0.216216216216216,0.0508474576271186,0.526315789473684,0.2,0.388888888888889
100,1,"poisson",1,"jzi_prev",298,0,0,0.162162162162162,0.0338983050847458,0.473684210526316,0,0.388888888888889
100,1,"poisson",1,"jzi_abund",298,0,0.125,0.325581395348837,0.0635593220338983,0.0526315789473684,0.44,0.666666666666667
100,1,"poisson",1,"zinb",289,9,0,0.0277777777777778,0.0218340611353712,0.277777777777778,0,0.166666666666667
100,1,"poisson",1,"abund_lm_depth",291,7,0.0909090909090909,0.24390243902439,0.0301724137931034,0.222222222222222,0.25,0.647058823529412
20,4,"poisson",1,"naive",264,0,0,0,0.0368663594470046,0.0526315789473684,0,0.266666666666667
20,4,"poisson",1,"depthcov",264,0,0,0,0.00460829493087558,0,0,0
20,4,"poisson",1,"jzi_prev",264,0,0,0.0294117647058824,0.0184331797235023,0.157894736842105,0,0.0666666666666667
20,4,"poisson",1,"jzi_abund",264,0,0.5,0.178571428571429,0.129032258064516,0.157894736842105,0.307692307692308,0.4
20,4,"poisson",1,"zinb",0,264,0,NA,NA,NA,NA,NA
20,4,"poisson",1,"abund_lm_depth",215,49,0,0,0.0508474576271186,0.0625,0.111111111111111,0.0769230769230769
50,4,"poisson",1,"naive",298,0,0,0,0.129707112970711,0.347826086956522,0.2,0.3125
50,4,"poisson",1,"depthcov",298,0,0,0,0.0543933054393305,0.0869565217391304,0.15,0.0625
50,4,"poisson",1,"jzi_prev",298,0,0,0,0.0418410041841004,0.260869565217391,0.2,0.1875
50,4,"poisson",1,"jzi_abund",298,0,0.285714285714286,0.138888888888889,0.0711297071129707,0.130434782608696,0.3,0.6875
50,4,"poisson",1,"zinb",295,3,0,0,0.0169491525423729,0.173913043478261,0.1,0.125
50,4,"poisson",1,"abund_lm_depth",291,7,0,0.0294117647058824,0.0341880341880342,0,0.105263157894737,0.2
100,4,"poisson",1,"naive",300,0,0.603174603174603,0.531914893617021,0.268398268398268,0.777777777777778,0.227272727272727,0.7
100,4,"poisson",1,"depthcov",300,0,0,0,0.0562770562770563,0.185185185185185,0.0454545454545455,0.25
100,4,"poisson",1,"jzi_prev",300,0,0.0714285714285714,0.276595744680851,0.025974025974026,0.518518518518518,0,0.5
100,4,"poisson",1,"jzi_abund",300,0,0.25,0.428571428571429,0.116883116883117,0.037037037037037,0.590909090909091,0.55
100,4,"poisson",1,"zinb",293,7,0,0.177777777777778,0.0132743362831858,0.307692307692308,0,0.473684210526316
100,4,"poisson",1,"abund_lm_depth",296,4,0,0.0238095238095238,0.039647577092511,0.037037037037037,0.363636363636364,0.2
20,1,"nb",1,"naive",255,0,0,0,0.0053475935828877,0.03125,0,0.0588235294117647
20,1,"nb",1,"depthcov",255,0,0,0,0.0053475935828877,0.09375,0,0.0588235294117647
20,1,"nb",1,"jzi_prev",255,0,0,0,0.0267379679144385,0.0625,0,0.117647058823529
20,1,"nb",1,"jzi_abund",255,0,0,0.0277777777777778,0.0748663101604278,0.0625,0.157894736842105,0.411764705882353
20,1,"nb",1,"zinb",0,255,0,NA,NA,NA,NA,NA
20,1,"nb",1,"abund_lm_depth",190,65,0,0,0.041958041958042,0.0952380952380952,0.0769230769230769,0.153846153846154
50,1,"nb",1,"naive",293,0,0,0.0303030303030303,0.0553191489361702,0.230769230769231,0.04,0.4
50,1,"nb",1,"depthcov",293,0,0,0.0303030303030303,0.0638297872340425,0.230769230769231,0.04,0.4
50,1,"nb",1,"jzi_prev",293,0,0,0,0.0340425531914894,0.230769230769231,0,0.3
50,1,"nb",1,"jzi_abund",293,0,0,0.133333333333333,0.127659574468085,0.0769230769230769,0.32,0.4
50,1,"nb",1,"zinb",281,12,0,0,0.00442477876106195,0.0769230769230769,0,0.0526315789473684
50,1,"nb",1,"abund_lm_depth",274,19,0,0,0.0407239819004525,0.0909090909090909,0.217391304347826,0.210526315789474
100,1,"nb",1,"naive",295,0,0,0.146341463414634,0.0251046025104603,0.523809523809524,0.2,0.6
100,1,"nb",1,"depthcov",295,0,0,0.146341463414634,0.0334728033472803,0.523809523809524,0.266666666666667,0.6
100,1,"nb",1,"jzi_prev",295,0,0,0.0975609756097561,0.0209205020920502,0.380952380952381,0.0666666666666667,0.25
100,1,"nb",1,"jzi_abund",295,0,0.0909090909090909,0.285714285714286,0.0711297071129707,0.142857142857143,0.6,0.25
100,1,"nb",1,"zinb",289,6,0,0,0,0.285714285714286,0,0.15
100,1,"nb",1,"abund_lm_depth",291,4,0,0.142857142857143,0.0338983050847458,0.05,0.533333333333333,0.25
20,4,"nb",1,"naive",267,0,0,0,0.0473933649289099,0.0526315789473684,0.142857142857143,0.217391304347826
20,4,"nb",1,"depthcov",267,0,0,0,0.00947867298578199,0,0.0714285714285714,0.0434782608695652
20,4,"nb",1,"jzi_prev",267,0,0,0,0.028436018957346,0.105263157894737,0,0.173913043478261
20,4,"nb",1,"jzi_abund",267,0,0.733333333333333,0.108108108108108,0.156398104265403,0.157894736842105,0.285714285714286,0.304347826086957
20,4,"nb",1,"zinb",0,267,0,NA,NA,NA,NA,NA
20,4,"nb",1,"abund_lm_depth",213,54,0.5,0.0333333333333333,0.0526315789473684,0.0833333333333333,0.1,0.05
50,4,"nb",1,"naive",299,0,0,0,0.195219123505976,0.375,0.133333333333333,0.176470588235294
50,4,"nb",1,"depthcov",299,0,0,0,0.0278884462151394,0.1875,0,0.352941176470588
50,4,"nb",1,"jzi_prev",299,0,0,0,0.0398406374501992,0.375,0,0.0588235294117647
50,4,"nb",1,"jzi_abund",299,0,0.5,0.09375,0.099601593625498,0.25,0.4,0.470588235294118
50,4,"nb",1,"zinb",296,3,0,0,0.00803212851405622,0.266666666666667,0,0
50,4,"nb",1,"abund_lm_depth",285,14,0,0,0.0663900414937759,0.0714285714285714,0.2,0.0666666666666667
100,4,"nb",1,"naive",299,0,0.656716417910448,0.547619047619048,0.298319327731092,0.6,0.263157894736842,0.705882352941177
