"package","source","installed","version"
"ADAPT","Bioconductor",FALSE,NA
"LOCOM2","CRAN",FALSE,NA
"maaslin3","Bioconductor",FALSE,NA
"PURSUE","this checkout",FALSE,NA
"ALDEx2","Bioconductor",TRUE,"1.34.0"
"ANCOMBC","Bioconductor",TRUE,"2.4.0"
"ape","CRAN",TRUE,"5.8.1"
"arrow","CRAN",TRUE,"21.0.0"
"corncob","CRAN",TRUE,"0.4.2"
"data.table","CRAN",TRUE,"1.17.8"
"fastANCOM","GitHub:ZRChao/fastANCOM",TRUE,"0.0.4"
"fastEmu","GitHub:statdivlab/fastEmu",TRUE,"2.0.1"
"GUniFrac","CRAN",TRUE,"1.9"
"jsonlite","CRAN",TRUE,"2.0.0"
"LDM","CRAN",TRUE,"6.0.1"
"limma","Bioconductor",TRUE,"3.58.1"
"lme4","CRAN",TRUE,"1.1.37"
"LOCOM","GitHub:yijuanhu/LOCOM",TRUE,"2.0"
"matrixStats","CRAN",TRUE,"1.5.0"
"MicrobiomeStat","CRAN",TRUE,"1.4"
"MIDASim","CRAN",TRUE,"2.0"
"optparse","CRAN",TRUE,"1.7.5"
"phyloseq","Bioconductor",TRUE,"1.46.0"
"pscl","CRAN",TRUE,"1.5.9"
"radEmu","CRAN",TRUE,"2.3.2.0"
"ranger","CRAN",TRUE,"0.17.0"
"sandwich","CRAN",TRUE,"3.1.1"
"SparseDOSSA2","GitHub:biobakery/SparseDOSSA2",TRUE,"0.99.2"
"SPsimSeq","Bioconductor",TRUE,"1.12.0"
"SummarizedExperiment","Bioconductor",TRUE,"1.32.0"
"TreeSummarizedExperiment","Bioconductor",TRUE,"2.10.0"
"vegan","CRAN",TRUE,"2.7.1"
