"simulator","template","m","seconds","status"
"mid","hmp_stool",500,3.41079878807068,"ok"
"mid","hmp_stool",1000,5.11648941040039,"ok"
"mid","hmp_gingiva",500,2.32263040542603,"ok"
"mid","hmp_gingiva",1000,1.66744160652161,"ok"
"mid","hmp_skin_ear",500,1.11273670196533,"ok"
"mid","hmp_skin_ear",1000,1.11455607414246,"ok"
"mid","hmp_vagina",500,1.58623170852661,"ok"
"mid","hmp_vagina",1000,1.49927067756653,"ok"
"mid","risk_stool",500,1.96957755088806,"ok"
"mid","risk_stool",1000,5.59720468521118,"ok"
"sd2","hmp_stool",NA,7018.97594618797,"ok"
"sd2","hmp_gingiva",NA,6078.0419549942,"ok"
"sd2","hmp_skin_ear",NA,4119.16714429855,"ok"
"sd2","hmp_vagina",NA,8489.7994761467,"ok"
"sd2","risk_stool",NA,7558.14134597778,"ok"
