"setting","rep","variant","tested","n_pos","rej","tp","fp","fpr"
"B_ref  (power, mixed)",1,"logistic",667,72,10,10,0,0.0504201680672269
"B_ref  (power, mixed)",1,"logistic_depth",667,72,10,10,0,0.053781512605042
"B_ref  (power, mixed)",1,"cloglog_offset",667,72,11,10,1,0.0689075630252101
"B_ref  (power, mixed)",1,"cloglog_depth",667,72,10,10,0,0.053781512605042
"B_ref  (power, mixed)",1,"pursue_presence",667,72,4,4,0,0.0571428571428571
"B_ref  (power, mixed)",1,"pursue_combined",667,72,4,4,0,0.065546218487395
"B_ref  (power, mixed)",2,"logistic",676,75,21,18,3,0.0632279534109817
"B_ref  (power, mixed)",2,"logistic_depth",676,75,21,18,3,0.0632279534109817
"B_ref  (power, mixed)",2,"cloglog_offset",676,75,19,15,4,0.0698835274542429
"B_ref  (power, mixed)",2,"cloglog_depth",676,75,21,18,3,0.0665557404326123
"B_ref  (power, mixed)",2,"pursue_presence",676,75,8,7,1,0.0465890183028286
"B_ref  (power, mixed)",2,"pursue_combined",676,75,4,3,1,0.0599001663893511
"B_ref  (power, mixed)",3,"logistic",685,70,11,11,0,0.0439024390243902
"B_ref  (power, mixed)",3,"logistic_depth",685,70,14,13,1,0.0520325203252033
"B_ref  (power, mixed)",3,"cloglog_offset",685,70,13,12,1,0.0617886178861789
"B_ref  (power, mixed)",3,"cloglog_depth",685,70,14,13,1,0.0504065040650407
"B_ref  (power, mixed)",3,"pursue_presence",685,70,4,4,0,0.0471544715447154
"B_ref  (power, mixed)",3,"pursue_combined",685,70,4,4,0,0.0422764227642276
"B_ref  (power, mixed)",4,"logistic",661,59,5,4,1,0.101328903654485
"B_ref  (power, mixed)",4,"logistic_depth",661,59,4,3,1,0.0863787375415282
"B_ref  (power, mixed)",4,"cloglog_offset",661,59,4,3,1,0.0813953488372093
"B_ref  (power, mixed)",4,"cloglog_depth",661,59,4,3,1,0.0847176079734219
"B_ref  (power, mixed)",4,"pursue_presence",661,59,0,0,0,0.0598006644518272
"B_ref  (power, mixed)",4,"pursue_combined",661,59,1,1,0,0.0465116279069767
"B_ref  (power, mixed)",5,"logistic",643,58,10,9,1,0.0666666666666667
"B_ref  (power, mixed)",5,"logistic_depth",643,58,12,9,3,0.0752136752136752
"B_ref  (power, mixed)",5,"cloglog_offset",643,58,11,8,3,0.0786324786324786
"B_ref  (power, mixed)",5,"cloglog_depth",643,58,12,9,3,0.0752136752136752
"B_ref  (power, mixed)",5,"pursue_presence",643,58,5,5,0,0.052991452991453
"B_ref  (power, mixed)",5,"pursue_combined",643,58,4,4,0,0.0598290598290598
"B_ref  (power, mixed)",6,"logistic",742,74,10,9,1,0.0449101796407186
"B_ref  (power, mixed)",6,"logistic_depth",742,74,8,8,0,0.0374251497005988
"B_ref  (power, mixed)",6,"cloglog_offset",742,74,15,13,2,0.0868263473053892
"B_ref  (power, mixed)",6,"cloglog_depth",742,74,11,10,1,0.0344311377245509
"B_ref  (power, mixed)",6,"pursue_presence",742,74,5,5,0,0.0389221556886228
"B_ref  (power, mixed)",6,"pursue_combined",742,74,5,5,0,0.0389221556886228
"B_ref  (power, mixed)",7,"logistic",665,58,9,7,2,0.0411861614497529
"B_ref  (power, mixed)",7,"logistic_depth",665,58,7,7,0,0.0560131795716639
"B_ref  (power, mixed)",7,"cloglog_offset",665,58,10,10,0,0.0675453047775947
