"setting","rep","variant","tested","n_pos","rej","tp","fp","fpr"
"R00    (no confound)",1,"logistic",480,48,0,0,0,0.0532407407407407
"R00    (no confound)",1,"logistic_depth",480,48,0,0,0,0.0648148148148148
"R00    (no confound)",1,"cloglog_offset",480,48,0,0,0,0.0694444444444444
"R00    (no confound)",1,"cloglog_depth",480,48,0,0,0,0.0578703703703704
"R00    (no confound)",1,"pursue_presence",480,48,0,0,0,0.0439814814814815
"R00    (no confound)",1,"pursue_combined",480,48,0,0,0,0.0486111111111111
"R00    (no confound)",2,"logistic",482,49,0,0,0,0.0300230946882217
"R00    (no confound)",2,"logistic_depth",482,49,0,0,0,0.0392609699769053
"R00    (no confound)",2,"cloglog_offset",482,49,0,0,0,0.0600461893764434
"R00    (no confound)",2,"cloglog_depth",482,49,1,1,0,0.0415704387990762
"R00    (no confound)",2,"pursue_presence",482,49,0,0,0,0.0323325635103926
"R00    (no confound)",2,"pursue_combined",482,49,0,0,0,0.0508083140877598
"R00    (no confound)",3,"logistic",480,47,0,0,0,0.0415704387990762
"R00    (no confound)",3,"logistic_depth",480,47,0,0,0,0.046189376443418
"R00    (no confound)",3,"cloglog_offset",480,47,2,1,1,0.0531177829099307
"R00    (no confound)",3,"cloglog_depth",480,47,0,0,0,0.0531177829099307
"R00    (no confound)",3,"pursue_presence",480,47,1,0,1,0.0392609699769053
"R00    (no confound)",3,"pursue_combined",480,47,0,0,0,0.0508083140877598
"R00    (no confound)",4,"logistic",469,46,0,0,0,0.0732860520094563
"R00    (no confound)",4,"logistic_depth",469,46,0,0,0,0.0969267139479905
"R00    (no confound)",4,"cloglog_offset",469,46,0,0,0,0.111111111111111
"R00    (no confound)",4,"cloglog_depth",469,46,0,0,0,0.0969267139479905
"R00    (no confound)",4,"pursue_presence",469,46,0,0,0,0.0803782505910166
"R00    (no confound)",4,"pursue_combined",469,46,0,0,0,0.08274231678487
"R00    (no confound)",5,"logistic",461,45,0,0,0,0.0600961538461538
"R00    (no confound)",5,"logistic_depth",461,45,0,0,0,0.0336538461538462
"R00    (no confound)",5,"cloglog_offset",461,45,0,0,0,0.0745192307692308
"R00    (no confound)",5,"cloglog_depth",461,45,0,0,0,0.0360576923076923
"R00    (no confound)",5,"pursue_presence",461,45,0,0,0,0.0360576923076923
"R00    (no confound)",5,"pursue_combined",461,45,0,0,0,0.0552884615384615
"R00    (no confound)",6,"logistic",471,48,0,0,0,0.0449172576832151
"R00    (no confound)",6,"logistic_depth",471,48,0,0,0,0.0543735224586288
"R00    (no confound)",6,"cloglog_offset",471,48,0,0,0,0.0567375886524823
"R00    (no confound)",6,"cloglog_depth",471,48,0,0,0,0.0543735224586288
"R00    (no confound)",6,"pursue_presence",471,48,0,0,0,0.0472813238770686
"R00    (no confound)",6,"pursue_combined",471,48,1,1,0,0.066193853427896
"R00    (no confound)",7,"logistic",466,48,0,0,0,0.0478468899521531
"R00    (no confound)",7,"logistic_depth",466,48,0,0,0,0.0287081339712919
"R00    (no confound)",7,"cloglog_offset",466,48,0,0,0,0.0406698564593301
"R00    (no confound)",7,"cloglog_depth",466,48,0,0,0,0.0334928229665072
"R00    (no confound)",7,"pursue_presence",466,48,0,0,0,0.0358851674641148
"R00    (no confound)",7,"pursue_combined",466,48,0,0,0,0.0454545454545455
"R00    (no confound)",8,"logistic",491,50,0,0,0,0.0453514739229025
"R00    (no confound)",8,"logistic_depth",491,50,0,0,0,0.036281179138322
