"setting","rep","variant","tested","n_pos","rej","tp","fp","fpr"
"R00    (no confound)",1,"logistic",450,46,0,0,0,0.0396039603960396
"R00    (no confound)",1,"logistic_depth",450,46,0,0,0,0.0420792079207921
"R00    (no confound)",1,"cloglog_offset",450,46,0,0,0,0.0420792079207921
"R00    (no confound)",1,"cloglog_depth",450,46,0,0,0,0.0420792079207921
"R00    (no confound)",1,"pursue_presence",450,46,0,0,0,0.0346534653465347
"R00    (no confound)",1,"pursue_combined",450,46,1,1,0,0.0371287128712871
"R00    (no confound)",2,"logistic",444,44,0,0,0,0.0275
"R00    (no confound)",2,"logistic_depth",444,44,0,0,0,0.0275
"R00    (no confound)",2,"cloglog_offset",444,44,0,0,0,0.035
"R00    (no confound)",2,"cloglog_depth",444,44,0,0,0,0.03
"R00    (no confound)",2,"pursue_presence",444,44,0,0,0,0.015
"R00    (no confound)",2,"pursue_combined",445,44,3,3,0,0.0249376558603491
"R00    (no confound)",3,"logistic",454,45,1,1,0,0.0440097799511002
"R00    (no confound)",3,"logistic_depth",454,45,1,1,0,0.0537897310513447
"R00    (no confound)",3,"cloglog_offset",454,45,1,1,0,0.078239608801956
"R00    (no confound)",3,"cloglog_depth",454,45,1,1,0,0.0537897310513447
"R00    (no confound)",3,"pursue_presence",454,45,0,0,0,0.0293398533007335
"R00    (no confound)",3,"pursue_combined",454,45,0,0,0,0.0342298288508557
"R00    (no confound)",4,"logistic",452,46,0,0,0,0.0467980295566502
"R00    (no confound)",4,"logistic_depth",452,46,0,0,0,0.0467980295566502
"R00    (no confound)",4,"cloglog_offset",452,46,0,0,0,0.0591133004926108
"R00    (no confound)",4,"cloglog_depth",452,46,0,0,0,0.0492610837438424
"R00    (no confound)",4,"pursue_presence",452,46,0,0,0,0.0295566502463054
"R00    (no confound)",4,"pursue_combined",452,46,4,4,0,0.0443349753694581
"R00    (no confound)",5,"logistic",441,44,0,0,0,0.0654911838790932
"R00    (no confound)",5,"logistic_depth",441,44,0,0,0,0.0654911838790932
"R00    (no confound)",5,"cloglog_offset",441,44,0,0,0,0.0856423173803526
"R00    (no confound)",5,"cloglog_depth",441,44,0,0,0,0.0705289672544081
"R00    (no confound)",5,"pursue_presence",441,44,0,0,0,0.0403022670025189
"R00    (no confound)",5,"pursue_combined",442,44,1,1,0,0.0778894472361809
"R00    (no confound)",6,"logistic",450,44,0,0,0,0.0320197044334975
"R00    (no confound)",6,"logistic_depth",450,44,0,0,0,0.0369458128078818
"R00    (no confound)",6,"cloglog_offset",450,44,0,0,0,0.0295566502463054
"R00    (no confound)",6,"cloglog_depth",450,44,0,0,0,0.0344827586206897
"R00    (no confound)",6,"pursue_presence",450,44,0,0,0,0.0246305418719212
"R00    (no confound)",6,"pursue_combined",450,44,7,7,0,0.0467980295566502
"R00    (no confound)",7,"logistic",449,43,0,0,0,0.0295566502463054
"R00    (no confound)",7,"logistic_depth",449,43,0,0,0,0.0295566502463054
"R00    (no confound)",7,"cloglog_offset",449,43,0,0,0,0.0517241379310345
"R00    (no confound)",7,"cloglog_depth",449,43,0,0,0,0.0320197044334975
"R00    (no confound)",7,"pursue_presence",449,43,0,0,0,0.0147783251231527
"R00    (no confound)",7,"pursue_combined",450,43,0,0,0,0.0294840294840295
"R00    (no confound)",8,"logistic",444,45,0,0,0,0.0401002506265664
"R00    (no confound)",8,"logistic_depth",444,45,0,0,0,0.0401002506265664
"R00    (no confound)",8,"cloglog_offset",444,45,0,0,0,0.0451127819548872
