"method","m","n","seconds","usable"
"wilcoxon_tss",24,30,0.0299999999999994,TRUE
"lm_logtss",24,30,0.0350000000000001,TRUE
"limma_logtss",24,30,0.0310000000000006,TRUE
"logistic_presence",24,30,0.0410000000000004,TRUE
"pursue",24,30,0.632999999999999,TRUE
"linda",24,30,0.0440000000000005,TRUE
"ancombc2",24,30,3.379,TRUE
"maaslin3",24,30,1.505,TRUE
"aldex2",24,30,0.634999999999998,TRUE
"corncob",24,30,0.573,TRUE
"ldm",24,30,1.07299999999999,TRUE
"locom",24,30,0.891000000000005,TRUE
"locom2",24,30,1.017,TRUE
"zicoseq",24,30,1.427,TRUE
"fastancom",24,30,0.0210000000000008,TRUE
"adapt",24,30,0.130000000000003,TRUE
"fastemu",24,30,56.369,TRUE
"wilcoxon_tss",50,30,0.0229999999999961,TRUE
"lm_logtss",50,30,0.00300000000000011,TRUE
"limma_logtss",50,30,0.00800000000000978,TRUE
"logistic_presence",50,30,0.0390000000000015,TRUE
"pursue",50,30,1.25099999999999,TRUE
"linda",50,30,0.0400000000000063,TRUE
"ancombc2",50,30,8.37400000000001,TRUE
"maaslin3",50,30,1.51900000000001,TRUE
"aldex2",50,30,0.786999999999978,TRUE
"corncob",50,30,0.859000000000009,TRUE
"ldm",50,30,1.09300000000002,TRUE
"locom",50,30,1.59100000000001,TRUE
"locom2",50,30,3.13299999999998,TRUE
"zicoseq",50,30,2.40600000000001,TRUE
"fastancom",50,30,0.00600000000000023,TRUE
"adapt",50,30,0.0589999999999975,TRUE
"fastemu",50,30,96.009,TRUE
"wilcoxon_tss",70,30,0.0299999999999727,TRUE
"lm_logtss",70,30,0.0029999999999859,TRUE
"limma_logtss",70,30,0.00799999999998136,TRUE
"logistic_presence",70,30,0.0509999999999877,TRUE
"pursue",70,30,1.596,TRUE
"linda",70,30,0.049000000000035,TRUE
"ancombc2",70,30,13.746,TRUE
"maaslin3",70,30,1.82099999999997,TRUE
"aldex2",70,30,1.01000000000005,TRUE
"corncob",70,30,1.21899999999999,TRUE
"ldm",70,30,1.16400000000004,TRUE
"locom",70,30,8.96899999999999,TRUE
"locom2",70,30,4.77799999999996,TRUE
"zicoseq",70,30,3.20400000000001,TRUE
"fastancom",70,30,0.007000000000005,TRUE
"adapt",70,30,0.0660000000000309,TRUE
"fastemu",70,30,245.306,TRUE
"wilcoxon_tss",94,30,0.0389999999999873,TRUE
"lm_logtss",94,30,0.00300000000004275,TRUE
"limma_logtss",94,30,0.00799999999992451,TRUE
"logistic_presence",94,30,0.0679999999999836,TRUE
"pursue",94,30,2.25299999999993,TRUE
"linda",94,30,0.05499999999995,TRUE
"ancombc2",94,30,16.063,TRUE
"maaslin3",94,30,2.25600000000009,TRUE
"aldex2",94,30,1.27999999999997,TRUE
"corncob",94,30,1.678,TRUE
"ldm",94,30,1.17200000000003,TRUE
"locom",94,30,4.505,TRUE
"locom2",94,30,3.10899999999992,TRUE
"zicoseq",94,30,4.178,TRUE
"fastancom",94,30,0.00600000000008549,TRUE
"adapt",94,30,0.11099999999999,TRUE
"fastemu",94,30,327.258,TRUE
"wilcoxon_tss",23,60,0.0149999999999864,TRUE
"lm_logtss",23,60,0.00199999999995271,TRUE
"limma_logtss",23,60,0.00700000000006185,TRUE
"logistic_presence",23,60,0.0230000000000246,TRUE
"pursue",23,60,0.644000000000005,TRUE
"linda",23,60,0.0249999999999773,TRUE
"ancombc2",23,60,4.1690000000001,TRUE
"maaslin3",23,60,1.04200000000003,TRUE
"aldex2",23,60,2.05399999999997,TRUE
"corncob",23,60,0.442999999999984,TRUE
