"method","n_points","slope_m","slope_n","max_observed_s","projected_s","projected_min","axisA_cpu_h"
"fastemu",8,1.38461296789239,-0.81881208373839,327.258,1204.52902715936,20.1,4601
"ancombc2",8,1.08707830765355,-0.0192145017675776,18.634,99.6254983418125,1.7,381
"zicoseq",8,0.959256764660519,1.21514805994796,9.548,96.8008894122256,1.6,370
"locom",8,1.48772462634319,0.0752464734652059,8.96899999999999,84.8799243257364,1.4,324
"locom2",8,0.98656062825283,-0.205112563547217,4.77799999999996,18.7524500274617,0.3,72
"pursue",8,0.975219748039007,0.266613712814835,2.72900000000004,15.9767100153963,0.3,61
"corncob",8,0.931339601790621,0.177263613112186,1.87099999999987,10.0259095432101,0.2,38
"maaslin3",8,0.431258885202329,-0.0862868403286602,2.25800000000004,4.15318274230885,0.1,16
"aldex2",8,0.181107294116831,0.764259946012719,2.05399999999997,3.37828045369068,0.1,13
"ldm",8,0.0841667386121158,0.378201009112206,1.59199999999987,2.14194751535852,0,8
"logistic_presence",8,0.61403179467086,-0.0662667126488888,0.0809999999999036,0.177737475337657,0,1
"adapt",8,0.229211007612077,-0.180314241784987,0.130000000000003,0.116553765594856,0,0
"linda",8,0.358990805118529,-0.224236303403535,0.0550000000000637,0.0797348977502476,0,0
"wilcoxon_tss",8,0.453364659928171,-0.149777208393621,0.0419999999999163,0.0692310433840498,0,0
"fastancom",8,-0.413922693339646,-0.483671906471705,0.0210000000000008,0.00188185692241733,0,0
"limma_logtss",8,-0.479149739841027,-0.66988241909184,0.0310000000000006,0.00170963172645504,0,0
