"spec","rep","variant","n_pos","n_rej","tp","fp"
"B_prev",1,"pursue_presence:default",66,0,0,0
"B_prev",1,"pursue_presence:no_ridge",66,0,0,0
"B_prev",1,"pursue_presence:no_theta",66,0,0,0
"B_prev",1,"pursue_presence:no_depth",66,0,0,0
"B_prev",1,"pursue_presence:no_ridge_theta",65,0,0,0
"B_prev",1,"logistic_presence",66,10,9,1
"B_prev",2,"pursue_presence:default",78,12,12,0
"B_prev",2,"pursue_presence:no_ridge",78,13,13,0
"B_prev",2,"pursue_presence:no_theta",78,12,12,0
"B_prev",2,"pursue_presence:no_depth",78,12,12,0
"B_prev",2,"pursue_presence:no_ridge_theta",78,13,13,0
"B_prev",2,"logistic_presence",78,13,13,0
"B_prev",3,"pursue_presence:default",69,12,11,1
"B_prev",3,"pursue_presence:no_ridge",69,13,12,1
"B_prev",3,"pursue_presence:no_theta",69,12,11,1
"B_prev",3,"pursue_presence:no_depth",69,12,11,1
"B_prev",3,"pursue_presence:no_ridge_theta",68,14,12,2
"B_prev",3,"logistic_presence",69,20,19,1
"B_prev",4,"pursue_presence:default",69,11,9,2
"B_prev",4,"pursue_presence:no_ridge",69,13,11,2
"B_prev",4,"pursue_presence:no_theta",69,12,10,2
"B_prev",4,"pursue_presence:no_depth",69,11,9,2
"B_prev",4,"pursue_presence:no_ridge_theta",68,12,10,2
"B_prev",4,"logistic_presence",69,14,13,1
"B_prev",5,"pursue_presence:default",69,9,9,0
"B_prev",5,"pursue_presence:no_ridge",68,11,11,0
"B_prev",5,"pursue_presence:no_theta",69,11,11,0
"B_prev",5,"pursue_presence:no_depth",69,9,9,0
"B_prev",5,"pursue_presence:no_ridge_theta",68,12,12,0
"B_prev",5,"logistic_presence",69,18,17,1
"B_prev",6,"pursue_presence:default",72,2,2,0
"B_prev",6,"pursue_presence:no_ridge",71,3,3,0
"B_prev",6,"pursue_presence:no_theta",72,2,2,0
"B_prev",6,"pursue_presence:no_depth",72,2,2,0
"B_prev",6,"pursue_presence:no_ridge_theta",71,2,2,0
"B_prev",6,"logistic_presence",72,10,9,1
"B_prev",7,"pursue_presence:default",65,2,2,0
"B_prev",7,"pursue_presence:no_ridge",65,3,3,0
"B_prev",7,"pursue_presence:no_theta",65,2,2,0
"B_prev",7,"pursue_presence:no_depth",65,2,2,0
"B_prev",7,"pursue_presence:no_ridge_theta",65,3,3,0
"B_prev",7,"logistic_presence",65,5,5,0
"B_prev",8,"pursue_presence:default",72,8,8,0
"B_prev",8,"pursue_presence:no_ridge",71,8,8,0
"B_prev",8,"pursue_presence:no_theta",72,8,8,0
"B_prev",8,"pursue_presence:no_depth",72,8,8,0
"B_prev",8,"pursue_presence:no_ridge_theta",70,8,8,0
"B_prev",8,"logistic_presence",72,16,16,0
"B_prev",9,"pursue_presence:default",55,11,11,0
"B_prev",9,"pursue_presence:no_ridge",55,11,11,0
"B_prev",9,"pursue_presence:no_theta",55,10,10,0
"B_prev",9,"pursue_presence:no_depth",55,11,11,0
"B_prev",9,"pursue_presence:no_ridge_theta",55,11,11,0
"B_prev",9,"logistic_presence",55,17,17,0
"B_prev",10,"pursue_presence:default",66,7,7,0
"B_prev",10,"pursue_presence:no_ridge",66,10,8,2
"B_prev",10,"pursue_presence:no_theta",66,8,8,0
"B_prev",10,"pursue_presence:no_depth",66,7,7,0
"B_prev",10,"pursue_presence:no_ridge_theta",66,10,8,2
"B_prev",10,"logistic_presence",66,15,15,0
"B_ref",1,"pursue_presence:default",43,2,2,0
"B_ref",1,"pursue_abundance:default",50,0,0,0
"B_ref",1,"pursue_presence:no_ridge",42,2,2,0
"B_ref",1,"pursue_abundance:no_ridge",50,0,0,0
"B_ref",1,"pursue_presence:no_theta",43,2,2,0
"B_ref",1,"pursue_abundance:no_theta",50,0,0,0
"B_ref",1,"pursue_presence:no_depth",43,2,2,0
"B_ref",1,"pursue_abundance:no_depth",50,0,0,0
"B_ref",1,"pursue_presence:no_ridge_theta",42,3,3,0
"B_ref",1,"pursue_abundance:no_ridge_theta",50,0,0,0
"B_ref",1,"logistic_presence",43,6,6,0
"B_ref",2,"pursue_presence:default",54,11,10,1
"B_ref",2,"pursue_abundance:default",52,0,0,0
"B_ref",2,"pursue_presence:no_ridge",54,11,10,1
"B_ref",2,"pursue_abundance:no_ridge",52,0,0,0
"B_ref",2,"pursue_presence:no_theta",54,10,9,1
"B_ref",2,"pursue_abundance:no_theta",52,0,0,0
"B_ref",2,"pursue_presence:no_depth",54,11,10,1
"B_ref",2,"pursue_abundance:no_depth",52,0,0,0
"B_ref",2,"pursue_presence:no_ridge_theta",54,11,10,1
"B_ref",2,"pursue_abundance:no_ridge_theta",52,0,0,0
"B_ref",2,"logistic_presence",54,15,15,0
"B_ref",3,"pursue_presence:default",46,9,8,1
"B_ref",3,"pursue_abundance:default",41,0,0,0
"B_ref",3,"pursue_presence:no_ridge",46,10,9,1
"B_ref",3,"pursue_abundance:no_ridge",41,0,0,0
"B_ref",3,"pursue_presence:no_theta",46,9,8,1
"B_ref",3,"pursue_abundance:no_theta",41,0,0,0
"B_ref",3,"pursue_presence:no_depth",46,9,8,1
"B_ref",3,"pursue_abundance:no_depth",41,0,0,0
"B_ref",3,"pursue_presence:no_ridge_theta",46,10,9,1
"B_ref",3,"pursue_abundance:no_ridge_theta",41,0,0,0
"B_ref",3,"logistic_presence",46,22,20,2
"B_ref",4,"pursue_presence:default",46,3,3,0
"B_ref",4,"pursue_abundance:default",43,0,0,0
"B_ref",4,"pursue_presence:no_ridge",45,3,3,0
"B_ref",4,"pursue_abundance:no_ridge",43,0,0,0
"B_ref",4,"pursue_presence:no_theta",46,3,3,0
"B_ref",4,"pursue_abundance:no_theta",43,0,0,0
"B_ref",4,"pursue_presence:no_depth",46,3,3,0
"B_ref",4,"pursue_abundance:no_depth",43,0,0,0
"B_ref",4,"pursue_presence:no_ridge_theta",45,3,3,0
"B_ref",4,"pursue_abundance:no_ridge_theta",43,0,0,0
"B_ref",4,"logistic_presence",46,8,8,0
"B_ref",5,"pursue_presence:default",55,4,4,0
"B_ref",5,"pursue_abundance:default",45,0,0,0
"B_ref",5,"pursue_presence:no_ridge",55,5,5,0
"B_ref",5,"pursue_abundance:no_ridge",45,0,0,0
"B_ref",5,"pursue_presence:no_theta",55,5,5,0
"B_ref",5,"pursue_abundance:no_theta",45,0,0,0
"B_ref",5,"pursue_presence:no_depth",55,4,4,0
"B_ref",5,"pursue_abundance:no_depth",45,0,0,0
"B_ref",5,"pursue_presence:no_ridge_theta",55,5,5,0
"B_ref",5,"pursue_abundance:no_ridge_theta",45,0,0,0
"B_ref",5,"logistic_presence",55,13,13,0
"B_ref",6,"pursue_presence:default",47,3,3,0
"B_ref",6,"pursue_abundance:default",50,0,0,0
"B_ref",6,"pursue_presence:no_ridge",47,3,3,0
"B_ref",6,"pursue_abundance:no_ridge",50,0,0,0
"B_ref",6,"pursue_presence:no_theta",47,2,2,0
"B_ref",6,"pursue_abundance:no_theta",50,0,0,0
"B_ref",6,"pursue_presence:no_depth",47,3,3,0
"B_ref",6,"pursue_abundance:no_depth",50,0,0,0
"B_ref",6,"pursue_presence:no_ridge_theta",46,3,3,0
"B_ref",6,"pursue_abundance:no_ridge_theta",50,0,0,0
"B_ref",6,"logistic_presence",47,9,8,1
"B_ref",7,"pursue_presence:default",48,1,1,0
"B_ref",7,"pursue_abundance:default",45,1,1,0
"B_ref",7,"pursue_presence:no_ridge",48,2,2,0
"B_ref",7,"pursue_abundance:no_ridge",45,1,1,0
"B_ref",7,"pursue_presence:no_theta",48,2,2,0
"B_ref",7,"pursue_abundance:no_theta",45,1,1,0
"B_ref",7,"pursue_presence:no_depth",48,1,1,0
"B_ref",7,"pursue_abundance:no_depth",45,1,1,0
"B_ref",7,"pursue_presence:no_ridge_theta",47,2,2,0
"B_ref",7,"pursue_abundance:no_ridge_theta",45,1,1,0
"B_ref",7,"logistic_presence",48,8,8,0
"B_ref",8,"pursue_presence:default",41,6,6,0
"B_ref",8,"pursue_abundance:default",46,0,0,0
"B_ref",8,"pursue_presence:no_ridge",41,8,8,0
"B_ref",8,"pursue_abundance:no_ridge",46,0,0,0
"B_ref",8,"pursue_presence:no_theta",41,6,6,0
"B_ref",8,"pursue_abundance:no_theta",46,0,0,0
"B_ref",8,"pursue_presence:no_depth",41,6,6,0
"B_ref",8,"pursue_abundance:no_depth",46,0,0,0
"B_ref",8,"pursue_presence:no_ridge_theta",41,8,8,0
"B_ref",8,"pursue_abundance:no_ridge_theta",46,0,0,0
"B_ref",8,"logistic_presence",41,10,10,0
"B_ref",9,"pursue_presence:default",35,4,4,0
"B_ref",9,"pursue_abundance:default",43,0,0,0
"B_ref",9,"pursue_presence:no_ridge",35,4,4,0
"B_ref",9,"pursue_abundance:no_ridge",43,0,0,0
"B_ref",9,"pursue_presence:no_theta",35,4,4,0
"B_ref",9,"pursue_abundance:no_theta",43,0,0,0
"B_ref",9,"pursue_presence:no_depth",35,4,4,0
"B_ref",9,"pursue_abundance:no_depth",43,1,1,0
"B_ref",9,"pursue_presence:no_ridge_theta",35,4,4,0
"B_ref",9,"pursue_abundance:no_ridge_theta",43,0,0,0
"B_ref",9,"logistic_presence",35,10,8,2
"B_ref",10,"pursue_presence:default",45,5,5,0
"B_ref",10,"pursue_abundance:default",41,0,0,0
"B_ref",10,"pursue_presence:no_ridge",45,5,5,0
"B_ref",10,"pursue_abundance:no_ridge",41,0,0,0
"B_ref",10,"pursue_presence:no_theta",45,4,4,0
"B_ref",10,"pursue_abundance:no_theta",41,0,0,0
"B_ref",10,"pursue_presence:no_depth",45,5,5,0
"B_ref",10,"pursue_abundance:no_depth",41,0,0,0
"B_ref",10,"pursue_presence:no_ridge_theta",44,5,5,0
"B_ref",10,"pursue_abundance:no_ridge_theta",41,0,0,0
"B_ref",10,"logistic_presence",45,7,7,0
