"method","package","status","n_p_finite","runtime_s","version"
"wilcoxon_tss","","ok",60,0.0429999999999993,"4.5.3"
"lm_logtss","","ok",60,0.0330000000000013,"4.5.3"
"limma_logtss","limma","ok",60,0.0289999999999964,"3.66.0"
"logistic_presence","","ok/no_detection_variation",44,0.0579999999999998,"4.5.3"
"pursue","PURSUE","ok/too_few_detected/no_variation_in_detection",163,1.293,"0.2.0"
"linda","MicrobiomeStat","ok",60,0.0640000000000001,"1.4"
"ancombc2","ANCOMBC","ok",60,9.436,"2.12.0"
"maaslin3","maaslin3","ok",174,1.879,"1.2.0"
"aldex2","ALDEx2","ok",60,1.047,"1.42.0"
"corncob","corncob","ok",60,1.214,"0.4.2"
"ldm","LDM","ok",60,1.235,"6.0.1"
"locom","LOCOM","ok",60,7.553,"2.0"
"locom2","LOCOM2","ok",60,1.10899999999999,"1.0"
"zicoseq","GUniFrac","ok",60,2.77900000000001,"1.9"
"fastancom","fastANCOM","ok",60,0.0229999999999961,"0.0.4"
"adapt","ADAPT","ok",60,0.143999999999991,"1.4.0"
"fastemu","radEmu","ok",60,70.848,"2.3.2.0"
