"template","pool","status","n_features","n_samples","depth_median"
"hmp_stool","evaluation","ok",1295,353,4266
"hmp_tongue","tuning","ok",403,350,4646
"hmp_gingiva","evaluation","ok",364,333,4585
"hmp_skin_ear","evaluation","ok",307,701,4353
"hmp_vagina","evaluation","ok",374,434,4789
"risk_stool","evaluation","ok",2044,166,30873
"risk_ileum","axisE","ok",1426,514,26084
"twinsuk_stool","tuning","ok",3223,1017,65045
"crc_genus","axisE","ok",191,708,43479
"mbd_gingival_v35","axisD","ok",5511,308,5292
"mbd_ravel_bv","axisD","ok",131,394,2144
"mbd_stammler_spikein","axisD","ok",2485,17,31754
