"setting","rep","variant","tested","n_pos","rej","tp","fp","fpr"
"B_abund (abundance-only truth)",1,"pursue_presence",677,70,0,0,0,0.0345963756177924
"B_abund (abundance-only truth)",1,"zinb_mu_raw",677,70,2,1,1,0.105436573311367
"B_abund (abundance-only truth)",1,"zinb_mu",677,70,2,1,1,0.103789126853377
"B_abund (abundance-only truth)",1,"zinb_joint_raw",677,70,3,2,1,0.0823723228995058
"B_abund (abundance-only truth)",1,"zinb_joint",677,70,2,2,0,0.0741350906095552
"B_abund (abundance-only truth)",1,"logistic",677,70,0,0,0,0.0494233937397035
"B_abund (abundance-only truth)",2,"pursue_presence",624,71,0,0,0,0.0470162748643761
"B_abund (abundance-only truth)",2,"zinb_mu_raw",624,71,4,1,3,0.0867992766726944
"B_abund (abundance-only truth)",2,"zinb_mu",624,71,4,1,3,0.0886075949367089
"B_abund (abundance-only truth)",2,"zinb_joint_raw",624,71,4,1,3,0.0687160940325497
"B_abund (abundance-only truth)",2,"zinb_joint",624,71,4,1,3,0.0669077757685353
"B_abund (abundance-only truth)",2,"logistic",624,71,0,0,0,0.0705244122965642
"B_abund (abundance-only truth)",3,"pursue_presence",693,70,0,0,0,0.0385232744783307
"B_abund (abundance-only truth)",3,"zinb_mu_raw",693,70,2,1,1,0.102728731942215
"B_abund (abundance-only truth)",3,"zinb_mu",693,70,2,1,1,0.0914927768860353
"B_abund (abundance-only truth)",3,"zinb_joint_raw",693,70,2,1,1,0.0818619582664527
"B_abund (abundance-only truth)",3,"zinb_joint",693,70,2,1,1,0.0818619582664527
"B_abund (abundance-only truth)",3,"logistic",693,70,1,0,1,0.0770465489566613
"B_abund (abundance-only truth)",4,"pursue_presence",709,69,0,0,0,0.0359375
"B_abund (abundance-only truth)",4,"zinb_mu_raw",709,69,4,2,2,0.1
"B_abund (abundance-only truth)",4,"zinb_mu",709,69,5,2,3,0.1046875
"B_abund (abundance-only truth)",4,"zinb_joint_raw",709,69,2,1,1,0.0859375
"B_abund (abundance-only truth)",4,"zinb_joint",709,69,2,1,1,0.090625
"B_abund (abundance-only truth)",4,"logistic",709,69,0,0,0,0.065625
"B_abund (abundance-only truth)",5,"pursue_presence",711,74,0,0,0,0.043956043956044
"B_abund (abundance-only truth)",5,"zinb_mu_raw",711,74,8,4,4,0.0957613814756672
"B_abund (abundance-only truth)",5,"zinb_mu",711,74,8,4,4,0.0957613814756672
"B_abund (abundance-only truth)",5,"zinb_joint_raw",711,74,4,4,0,0.0784929356357928
"B_abund (abundance-only truth)",5,"zinb_joint",711,74,4,4,0,0.0800627943485086
"B_abund (abundance-only truth)",5,"logistic",711,74,0,0,0,0.0486656200941915
"B_abund (abundance-only truth)",6,"pursue_presence",686,78,0,0,0,0.0361842105263158
"B_abund (abundance-only truth)",6,"zinb_mu_raw",686,78,6,3,3,0.0986842105263158
"B_abund (abundance-only truth)",6,"zinb_mu",686,78,8,5,3,0.0986842105263158
"B_abund (abundance-only truth)",6,"zinb_joint_raw",686,78,2,2,0,0.0674342105263158
"B_abund (abundance-only truth)",6,"zinb_joint",686,78,2,2,0,0.0773026315789474
"B_abund (abundance-only truth)",6,"logistic",686,78,0,0,0,0.0476973684210526
"B_abund (abundance-only truth)",7,"pursue_presence",685,66,0,0,0,0.037156704361874
"B_abund (abundance-only truth)",7,"zinb_mu_raw",685,66,3,1,2,0.12924071082391
"B_abund (abundance-only truth)",7,"zinb_mu",685,66,6,2,4,0.12924071082391
"B_abund (abundance-only truth)",7,"zinb_joint_raw",685,66,1,0,1,0.0856219709208401
"B_abund (abundance-only truth)",7,"zinb_joint",685,66,1,0,1,0.0856219709208401
"B_abund (abundance-only truth)",7,"logistic",685,66,0,0,0,0.0339256865912763
"B_abund (abundance-only truth)",8,"pursue_presence",659,79,0,0,0,0.0568965517241379
"B_abund (abundance-only truth)",8,"zinb_mu_raw",659,79,5,1,4,0.0982758620689655
"B_abund (abundance-only truth)",8,"zinb_mu",659,79,5,1,4,0.0948275862068965
"B_abund (abundance-only truth)",8,"zinb_joint_raw",659,79,3,1,2,0.0724137931034483
"B_abund (abundance-only truth)",8,"zinb_joint",659,79,3,1,2,0.0706896551724138
"B_abund (abundance-only truth)",8,"logistic",659,79,0,0,0,0.0517241379310345
"B_abund (abundance-only truth)",9,"pursue_presence",650,68,0,0,0,0.0360824742268041
"B_abund (abundance-only truth)",9,"zinb_mu_raw",650,68,4,3,1,0.0927835051546392
"B_abund (abundance-only truth)",9,"zinb_mu",650,68,4,3,1,0.0893470790378007
"B_abund (abundance-only truth)",9,"zinb_joint_raw",650,68,5,4,1,0.0687285223367698
"B_abund (abundance-only truth)",9,"zinb_joint",650,68,5,4,1,0.0670103092783505
"B_abund (abundance-only truth)",9,"logistic",650,68,0,0,0,0.0395189003436426
"B_abund (abundance-only truth)",10,"pursue_presence",673,65,0,0,0,0.0197368421052632
"B_abund (abundance-only truth)",10,"zinb_mu_raw",673,65,3,2,1,0.0838815789473684
"B_abund (abundance-only truth)",10,"zinb_mu",673,65,3,2,1,0.09375
"B_abund (abundance-only truth)",10,"zinb_joint_raw",673,65,2,1,1,0.0608552631578947
"B_abund (abundance-only truth)",10,"zinb_joint",673,65,3,2,1,0.0608552631578947
"B_abund (abundance-only truth)",10,"logistic",673,65,0,0,0,0.0378289473684211
"B_prev  (prevalence-only truth)",1,"pursue_presence",655,69,8,7,1,0.0460750853242321
"B_prev  (prevalence-only truth)",1,"zinb_mu_raw",655,69,6,0,6,0.122866894197952
"B_prev  (prevalence-only truth)",1,"zinb_mu",655,69,9,0,9,0.126279863481229
"B_prev  (prevalence-only truth)",1,"zinb_joint_raw",655,69,19,10,9,0.100682593856655
"B_prev  (prevalence-only truth)",1,"zinb_joint",655,69,22,10,12,0.0989761092150171
"B_prev  (prevalence-only truth)",1,"logistic",655,69,21,15,6,0.0853242320819113
"B_prev  (prevalence-only truth)",2,"pursue_presence",687,76,13,13,0,0.0409165302782324
"B_prev  (prevalence-only truth)",2,"zinb_mu_raw",687,76,0,0,0,0.101472995090016
"B_prev  (prevalence-only truth)",2,"zinb_mu",687,76,0,0,0,0.101472995090016
"B_prev  (prevalence-only truth)",2,"zinb_joint_raw",687,76,16,15,1,0.0785597381342062
