"simulator","regime_id","method","arm","fdr_05","tpr_05","fdr_10","tpr_10","pauc10","fpr05","ks_null","shadow","est_bias","est_rmse","ci_cover","runtime_s","n_pos","n_tested","n_rej_05","tp_05","fp_05","fdr_05_se","tpr_05_se","fdr_10_se","tpr_10_se","pauc10_se","fpr05_se","ks_null_se","shadow_se","est_bias_se","est_rmse_se","ci_cover_se","runtime_s_se","n_pos_se","n_tested_se","n_rej_05_se","tp_05_se","fp_05_se","n_cells"
"house","R00","adapt","single",0.051202198515279,0.199170933697573,0.107941834965038,0.264363651353698,0.487248657878614,0.0488740846257459,0.0622919381990679,NA,0.00161709347504296,1.65534823204358,NA,0.426609999999998,26.97,237.5,5.98,5.62,0.36,0.0105985023026786,0.011969388264892,0.0117267328826274,0.0122502601187624,0.010695009132457,0.00175202655191696,0.00236118457554263,NA,0.0228159485193436,0.0480859569958802,NA,0.0107881518904824,0.81865311902718,8.50642656638455,0.431810845232732,0.402211060730231,0.0643852043986392,100
"house","R00","aldex2","single",0,0.0239961955663989,0.0025,0.033281793847739,0.393203573765496,0.00555466814030523,0.257521725738684,NA,-0.0121223596599933,0.788018518941507,NA,11.25834,26.97,237.5,0.69,0.69,0,0,0.00315672371738866,0.0025,0.00350009662795462,0.00996073730246743,0.000512674129324055,0.00392477473921041,NA,0.00323550136325473,0.0108031174640551,NA,0.414956427850132,0.81865311902718,8.50642656638455,0.0928722376453401,0.0928722376453401,0,100
"house","R00","ancombc2","single",0,0.0284671533673023,0,0.0284671533673023,0.141865171062172,0.449904187023371,0.440911779911753,NA,-0.0259726219569259,0.806928657645522,0.517036648533396,68.28609,26.97,237.5,0.82,0.82,0,0,0.00394798719974049,0,0.00394798719974049,0.00688629625922959,0.00426696151096939,0.00399657376983074,NA,0.0176225829350251,0.0104938453757362,0.00420066676564555,2.79638340119588,0.81865311902718,8.50642656638455,0.120084145582179,0.120084145582179,0,100
"house","R00","corncob","single",0.351200577200577,0.0689527338697173,0.42617173418257,0.0974825687243734,0.218149196168601,0.0822245141532273,0.0940617128490042,NA,NA,NA,NA,10.41217,26.77,237.24,3.31,1.67,1.64,0.035898563195675,0.00841420294611606,0.0337704769989196,0.0102776314333672,0.00904450041328526,0.00304145309301183,0.00467595835322975,NA,NA,NA,NA,0.401986319194064,0.824970767771057,8.51321159828485,0.355816034637354,0.182604612330698,0.21951277545022,100
"house","R00","fastancom","single",0.0136071428571429,0.0605213349743147,0.0338036032594856,0.0955125152104281,0.392188622085836,0.0399133574744238,0.106000946781454,NA,-0.11085915627966,0.483449916243062,NA,0.0345999999999975,26.97,237.5,1.99,1.91,0.08,0.00659998637424179,0.00612506451596208,0.0093593437640547,0.0090909714284975,0.0120579436377668,0.00316218627227211,0.00579089853224806,NA,0.0155910617800856,0.00979124805620239,NA,0.000588955589895252,0.81865311902718,8.50642656638455,0.234195377297407,0.215601109421632,0.0393892771133865,100
"house","R00","fastemu","single",0.142,0.0173375733585411,0.192,0.0250293296309425,0.322538203073116,0.045776856719014,0.1152259292689,NA,-0.0311491526893148,1.54023292484296,0.842952815760685,726.35428,27.16,232.92,0.96,0.56,0.4,0.0551271258093509,0.00595957863264237,0.0657444547725003,0.00761179476231286,0.0210217342494964,0.00420647210909061,0.0087789666291221,NA,0.0168441661500837,0.0554039088817245,0.0090678639095476,53.7680214310055,1.58921364202551,17.4764527293155,0.318747549010185,0.200665559243899,0.173205080756888,25
"house","R00","ldm","single",0.0336673881673882,0.143136908363264,0.104984524462466,0.207541120639921,0.428638974928644,0.0484898230111861,0.0637136039253325,NA,NA,NA,NA,13.53952,26.97,237.5,4.36,4.1,0.26,0.00764894489161528,0.0106293933883454,0.0152181915438351,0.0116873925386614,0.0110313090398148,0.0015886771167733,0.0026268791388696,NA,NA,NA,NA,1.84553617800882,0.81865311902718,8.50642656638455,0.36335140349838,0.33166247903554,0.0596623495983519,100
"house","R00","limma_logtss","single",0.0431042568542569,0.130109276978417,0.0706116745147436,0.183254876352405,0.446878003160124,0.0482792477113529,0.0827884116635582,NA,-0.00104104020091241,0.470556006703906,0.926738332994182,0.0452999999999999,26.97,237.5,3.97,3.69,0.28,0.0132555238146816,0.0107922366660644,0.0140163784528199,0.0129011210658466,0.0113802458435537,0.0032259587435869,0.00495080524071653,NA,0.0150885103932883,0.00897628442321795,0.00328288188803586,0.000665377541496017,0.81865311902718,8.50642656638455,0.374018581075725,0.336258378289221,0.0753175097353018,100
"house","R00","linda","single",0.0453784687534688,0.1886367332161,0.0855423901863531,0.255262394312411,0.475148980149709,0.0540838120832116,0.0614322481500633,NA,-0.0117973686330015,0.440610451475144,0.910031079070388,0.21853,26.97,237.5,5.59,5.3,0.29,0.0120152456894023,0.0119606067385162,0.0104087536700803,0.0124744458207809,0.0110358658988811,0.0020004237074716,0.00277176143554801,NA,0.00675536244102747,0.00822062215581987,0.00253559034691115,0.0217567611922307,0.81865311902718,8.50642656638455,0.405541164820091,0.380456928899284,0.0518252697615611,100
"house","R00","lm_logtss","single",0.0398253968253968,0.135029958360781,0.0856643911643912,0.193470910172891,0.450667420471647,0.0495971403544684,0.0830178504210459,NA,-0.00104104020091241,0.470556006703906,0.925219254049027,0.0448600000000001,26.97,237.5,4.13,3.86,0.27,0.0129969375925818,0.0109192077683235,0.0148944017347067,0.0133465142537795,0.0110969111108328,0.00340253159500255,0.0051696849327646,NA,0.0150885103932883,0.00897628442321795,0.00343349388224637,0.000782255221985283,0.81865311902718,8.50642656638455,0.379434720433841,0.343487755799007,0.0736563135464471,100
