"simulator","regime_id","method","arm","fdr_05","tpr_05","fdr_10","tpr_10","pauc10","fpr05","ks_null","shadow","est_bias","est_rmse","ci_cover","runtime_s","n_pos","n_tested","n_rej_05","tp_05","fp_05","fdr_05_se","tpr_05_se","fdr_10_se","tpr_10_se","pauc10_se","fpr05_se","ks_null_se","shadow_se","est_bias_se","est_rmse_se","ci_cover_se","runtime_s_se","n_pos_se","n_tested_se","n_rej_05_se","tp_05_se","fp_05_se","n_cells"
"implant","B_abund","adapt","single",0.03,0.00466419404201341,0.0713095238095238,0.00809202383534806,0.110640170008376,0.0538302004869825,0.0764604037297041,NA,-0.0570379788720441,1.27065803461436,NA,0.567559999999998,47.13,479.83,0.2,0.11,0.09,0.0156023826204315,0.00182490343682081,0.0235887400537103,0.00242987819762495,0.00670655022700554,0.00335990141501708,0.00460371318413019,NA,0.0328000196586161,0.0443067837907965,NA,0.0400664632677729,4.38762389390242,45.2090096835316,0.0724743075339479,0.034509550720186,0.0621093854226216,100
"implant","B_abund","aldex2","single",0.0133333333333333,0.00175,0.015,0.00338101604278075,0.118589773630417,0.00601789788124858,0.274740084865242,NA,-0.0151973204185926,0.629886628388051,NA,17.20138,47.13,479.83,0.05,0.03,0.02,0.0105089347908202,0.00139289825340267,0.0111350751676807,0.00166233658323833,0.00692891022049453,0.000955451628078168,0.00475223263198211,NA,0.00275223692461446,0.0065530359075708,NA,1.56077402241531,4.38762389390242,45.2090096835316,0.0329523684408054,0.0222701503353613,0.014070529413629,100
"implant","B_abund","ancombc2","single",0,0.000666666666666667,0,0.000666666666666667,0.113777645771006,0.468537383567995,0.457878716095569,NA,-0.0156775791308109,0.843058203216757,0.497378077285441,88.20642,47.13,479.83,0.01,0.01,0,0,0.000666666666666667,0,0.000666666666666667,0.00609677792083613,0.00503014266161875,0.00430800528095579,NA,0.0156014286046194,0.0122710145440582,0.00452788690717853,8.68984909559877,4.38762389390242,45.2090096835316,0.01,0.01,0,100
"implant","B_abund","corncob","single",0.688691889193824,0.0658550410656696,0.723074897163411,0.100605319077221,0.120684116303782,0.129587480938135,0.122524124802156,NA,NA,NA,NA,17.22645,47.12,479.72,9.64,2.16,7.48,0.0300990299882633,0.00697598066981837,0.0229345360823064,0.00952268855628685,0.00580815808581355,0.00541130578812545,0.00707005683318381,NA,NA,NA,NA,1.62228851575747,4.3857961741066,45.2022035754985,1.00247370806098,0.240672458588914,0.80584731741807,100
"implant","B_abund","fastancom","single",0,0.0015654936461388,0,0.00169707259350723,0.116272031618062,0.0320437049987339,0.116238416193674,NA,-0.0174382158567681,0.457924836359315,NA,0.0492200000000045,47.13,479.83,0.04,0.04,0,0,0.00134191577111329,0,0.0013468071958143,0.00587372100004653,0.00315489437960078,0.00686324347591537,NA,0.0131455629466302,0.00677565042539996,NA,0.00345138180496477,4.38762389390242,45.2090096835316,0.0242878362539562,0.0242878362539562,0,100
"implant","B_abund","ldm","single",0.0446464646464646,0.00704655978248398,0.100863636363636,0.0116522979223144,0.145324244028943,0.0566914268959752,0.0826372998024045,NA,NA,NA,NA,15.37362,47.13,479.83,0.37,0.15,0.22,0.0186291765726103,0.00317279523620682,0.0272030898095252,0.00368139922937892,0.00705130705545024,0.00321328282254243,0.00541391196343701,NA,NA,NA,NA,2.10761264543271,4.38762389390242,45.2090096835316,0.150859490449179,0.053889149223572,0.115976312454333,100
"implant","B_abund","limma_logtss","single",0.0393333333333333,0.00717596553773023,0.0873095238095238,0.0135408131206369,0.113413318785199,0.0578361664415789,0.113853683040785,NA,-0.0186545510373922,0.467834293205789,0.888669283646277,0.03831,47.13,479.83,0.31,0.13,0.18,0.0178368966514605,0.00306099271293109,0.0256945995805598,0.00514431176502039,0.00649979781536958,0.00525148750934567,0.00661977285058109,NA,0.0161971691849562,0.00657502864404096,0.00466169279922973,0.000539490032298565,4.38762389390242,45.2090096835316,0.139040725085578,0.0463953149846539,0.10766577539738,100
"implant","B_abund","linda","single",0.0554166666666667,0.00471996278575226,0.0868900966183575,0.0103838839925857,0.116005597490407,0.0577350767634488,0.0790141475889648,NA,-0.021589202102099,0.436011741573013,0.873922692661086,0.40846,47.13,479.83,0.32,0.09,0.23,0.0223014292320301,0.00247249815738261,0.0261187314151841,0.00430752048006316,0.00619563139227672,0.00371218463029322,0.00494511253116372,NA,0.0065967739999819,0.00611831954717709,0.00375215038625371,0.0494738486577514,4.38762389390242,45.2090096835316,0.150339682725554,0.0404395046378357,0.127013082917955,100
"implant","B_abund","lm_logtss","single",0.0325909090909091,0.00731975638740344,0.0752464494569758,0.0135815931614668,0.116684124595443,0.0584264275769381,0.113285904382087,NA,-0.0186545510373922,0.467834293205789,0.888488122399352,0.03604,47.13,479.83,0.33,0.14,0.19,0.0155463774904708,0.00309834729938913,0.024013183672239,0.0051948897071406,0.00652849540574093,0.0051968544887679,0.00660639140157103,NA,0.0161971691849562,0.00657502864404096,0.00461850124988107,0.000343164124234459,4.38762389390242,45.2090096835316,0.14146063449282,0.0532195756495975,0.109816191700477,100
"implant","B_abund","locom","single",0.0416666666666667,0.0023270546986253,0.131,0.00872281738781124,0.14519380675662,0.0578090609758836,0.0804797874917083,NA,-0.019022476988503,1.01628312557271,NA,315.36719,47.13,479.83,0.2,0.11,0.09,0.0188584127285339,0.0010464921635562,0.0322387801414013,0.00258702645155694,0.00747096296327322,0.0032646037989501,0.00512152421368345,NA,0.00737203696577837,0.0181910814369707,NA,31.3142136355436,4.38762389390242,45.2090096835316,0.0681649810860727,0.0490207130000197,0.0428645977162243,100
