"axis","simulator","template","regime_id","replicate","n_samples","n_features_total","n_features_tested","m_requested","m_clamped"
"A","house","hmp_gingiva","R00",1,100,500,226,500,FALSE
"A","house","hmp_gingiva","R00",1,100,500,226,500,FALSE
"A","house","hmp_gingiva","R00",2,100,500,301,500,FALSE
"A","house","hmp_gingiva","R00",2,100,500,301,500,FALSE
"A","house","hmp_gingiva","R00",3,100,500,268,500,FALSE
"A","house","hmp_gingiva","R00",3,100,500,268,500,FALSE
"A","house","hmp_gingiva","R00",4,100,500,257,500,FALSE
"A","house","hmp_gingiva","R00",4,100,500,257,500,FALSE
"A","house","hmp_gingiva","R00",5,100,500,254,500,FALSE
"A","house","hmp_gingiva","R00",5,100,500,254,500,FALSE
"A","house","hmp_gingiva","R00",6,100,500,269,500,FALSE
"A","house","hmp_gingiva","R00",6,100,500,269,500,FALSE
"A","house","hmp_gingiva","R00",7,100,500,278,500,FALSE
"A","house","hmp_gingiva","R00",7,100,500,278,500,FALSE
"A","house","hmp_gingiva","R00",8,100,500,291,500,FALSE
"A","house","hmp_gingiva","R00",8,100,500,291,500,FALSE
"A","house","hmp_gingiva","R00",9,100,500,256,500,FALSE
"A","house","hmp_gingiva","R00",9,100,500,256,500,FALSE
"A","house","hmp_gingiva","R00",10,100,500,282,500,FALSE
"A","house","hmp_gingiva","R00",10,100,500,282,500,FALSE
"A","house","hmp_gingiva","R00",11,100,500,288,500,FALSE
"A","house","hmp_gingiva","R00",11,100,500,288,500,FALSE
"A","house","hmp_gingiva","R00",12,100,500,267,500,FALSE
"A","house","hmp_gingiva","R00",12,100,500,267,500,FALSE
"A","house","hmp_gingiva","R00",13,100,500,261,500,FALSE
"A","house","hmp_gingiva","R00",13,100,500,261,500,FALSE
"A","house","hmp_gingiva","R00",14,100,500,268,500,FALSE
"A","house","hmp_gingiva","R00",14,100,500,268,500,FALSE
"A","house","hmp_gingiva","R00",15,100,500,274,500,FALSE
"A","house","hmp_gingiva","R00",15,100,500,274,500,FALSE
