"simulator","regime_id","method","arm","fdr_05","tpr_05","fdr_10","tpr_10","pauc10","fpr05","ks_null","shadow","est_bias","est_rmse","ci_cover","runtime_s","n_pos","n_tested","n_rej_05","tp_05","fp_05","fdr_05_se","tpr_05_se","fdr_10_se","tpr_10_se","pauc10_se","fpr05_se","ks_null_se","shadow_se","est_bias_se","est_rmse_se","ci_cover_se","runtime_s_se","n_pos_se","n_tested_se","n_rej_05_se","tp_05_se","fp_05_se","n_cells"
"implant","B_abund","adapt","single",0.03,0.00466419404201341,0.0713095238095238,0.00809202383534806,0.110640170008376,0.0538302004869825,0.0764604037297041,NA,-0.0570379788720441,1.27065803461436,NA,0.567559999999998,47.13,479.83,0.2,0.11,0.09,0.00897786203329964,0.00105007880388838,0.0135733406168527,0.00139819101650747,0.003859056922409,0.00193334134172626,0.00264905064908993,NA,0.0188736591294046,0.0254948363778818,NA,0.0230548877137064,2.52470939418453,26.0139916751785,0.0417028828114149,0.0198573508120016,0.0357387398362563,300
"implant","B_abund","aldex2","single",0.0133333333333333,0.00175,0.015,0.00338101604278075,0.118589773630417,0.00601789788124858,0.274740084865242,NA,-0.0151973204185926,0.629886628388051,NA,17.20138,47.13,479.83,0.05,0.03,0.02,0.00604701018839113,0.000801496069523216,0.0064073014370861,0.000956535220311607,0.00398700644087905,0.000549782241921464,0.00273451112935851,NA,0.00158368141541309,0.00377072231265419,NA,0.898094488469558,2.52470939418453,26.0139916751785,0.0189613230702726,0.0128146028741722,0.00809640904752736,300
"implant","B_abund","ancombc2","single",0,0.000666666666666667,0,0.000666666666666667,0.113777645771006,0.468537383567995,0.457878716095569,NA,-0.0156775791308109,0.843058203216757,0.497378077285441,88.20642,47.13,479.83,0.01,0.01,0,0,0.000383610727998386,0,0.000383610727998386,0.00350818412498465,0.00289442503253896,0.00247889556307251,NA,0.00897731307724936,0.0070609392337874,0.00260541898913567,5.00027900663814,2.52470939418453,26.0139916751785,0.00575416091997579,0.00575416091997579,0,300
"implant","B_abund","corncob","single",0.688691889193824,0.0658550410656696,0.723074897163411,0.100605319077221,0.120684116303782,0.129587480938135,0.122524124802156,NA,NA,NA,NA,17.22645,47.12,479.72,9.64,2.16,7.48,0.0173194662087644,0.00401409153487754,0.0131969011242582,0.00547950823436864,0.00334210762744297,0.00311375242920703,0.0040682244731514,NA,NA,NA,NA,0.933490917829717,2.52365769480235,26.0100753310923,0.576839503422772,0.138486805572682,0.463697514135438,300
"implant","B_abund","fastancom","single",0,0.0015654936461388,0,0.00169707259350723,0.116272031618062,0.0320437049987339,0.116238416193674,NA,-0.0174382158567681,0.457924836359315,NA,0.0492200000000045,47.13,479.83,0.04,0.04,0,0,0.000772159928803929,0,0.000774974533289685,0.00337983358333088,0.00181537699457501,0.0039492207393391,NA,0.00756416845785813,0.00389881828852538,NA,0.00198598063020438,2.52470939418453,26.0139916751785,0.0139756118203286,0.0139756118203286,0,300
"implant","B_abund","ldm","single",0.0446464646464646,0.00704655978248398,0.100863636363636,0.0116522979223144,0.145324244028943,0.0566914268959752,0.0826372998024045,NA,NA,NA,NA,15.37362,47.13,479.83,0.37,0.15,0.22,0.0107195279805443,0.00182567743552666,0.0156530956284561,0.00211833635765211,0.00405743554932213,0.00184897464423031,0.00311525206441986,NA,NA,NA,NA,1.21275423187957,2.52470939418453,26.0139916751785,0.0868069784350125,0.0310086836473021,0.0667346364767623,300
"implant","B_abund","limma_logtss","single",0.0393333333333333,0.00717596553773023,0.0873095238095238,0.0135408131206369,0.113413318785199,0.0578361664415789,0.113853683040785,NA,-0.0186545510373922,0.467834293205789,0.888669283646277,0.03831,47.13,479.83,0.31,0.13,0.18,0.0102636373645481,0.00176134446450788,0.0147850860760884,0.0029601197718452,0.00374008825769436,0.00302179041980178,0.00380912382359304,NA,0.0093201117938311,0.00378337728712619,0.00268241305262602,0.000310431246056888,2.52470939418453,26.0139916751785,0.0800062706572529,0.0266966108354662,0.0619526197210497,300
"implant","B_abund","linda","single",0.0554166666666667,0.00471996278575226,0.0868900966183575,0.0103838839925857,0.116005597490407,0.0577350767634488,0.0790141475889648,NA,-0.021589202102099,0.436011741573013,0.873922692661086,0.40846,47.13,479.83,0.32,0.09,0.23,0.0128326012546553,0.00142271522719231,0.0150291383588596,0.00247861660083748,0.00356506600320139,0.0021360507727368,0.00284549732717048,NA,0.00379588991486082,0.00352057952342904,0.00215904771184532,0.028468048650723,2.52470939418453,26.0139916751785,0.0865078727060941,0.0232695417210214,0.0730853718052139,300
"implant","B_abund","lm_logtss","single",0.0325909090909091,0.00731975638740344,0.0752464494569758,0.0135815931614668,0.116684124595443,0.0584264275769381,0.113285904382087,NA,-0.0186545510373922,0.467834293205789,0.888488122399352,0.03604,47.13,479.83,0.33,0.14,0.19,0.00894563578028582,0.00178283889466574,0.0138175723050998,0.00298922313364129,0.00375660131299559,0.0029903537006069,0.00380142392249841,NA,0.0093201117938311,0.00378337728712619,0.0026575599400925,0.000197462159280764,2.52470939418453,26.0139916751785,0.0813987254713561,0.0306234002380609,0.0631900038663455,300
"implant","B_abund","locom","single",0.0416666666666667,0.0023270546986253,0.131,0.00872281738781124,0.14519380675662,0.0578090609758836,0.0804797874917083,NA,-0.019022476988503,1.01628312557271,NA,315.36719,47.13,479.83,0.2,0.11,0.09,0.0108514341535304,0.000602168431059599,0.0185507128797343,0.00148861665064925,0.00429891231178532,0.00187850555991231,0.0029470074481087,NA,0.00424198870090988,0.0104674409896714,NA,18.0187024341418,2.52470939418453,26.0139916751785,0.0392232270276368,0.0282073071014062,0.0246649793029181,300
"implant","B_abund","locom2","single",0.191904761904762,0.00451836464205954,0.190198412698413,0.0117473468011998,0.135762851841214,0.0480482937136802,0.0904726098144387,NA,NA,NA,NA,62.29848,47.13,479.83,0.48,0.16,0.32,0.0214633329204376,0.000928764213987495,0.0203109015356176,0.00219187852754166,0.00383350719968225,0.00153405961859568,0.00261274424965211,NA,NA,NA,NA,4.03219862231488,2.52470939418453,26.0139916751785,0.0592483577238778,0.0254983768910938,0.0447064000715542,300
"implant","B_abund","logistic_presence","single",0.0766666666666667,0.000925229741019214,0.167380952380952,0.00363565820144767,0.0634815781457809,0.0593863273414285,0.125009577507028,NA,-0.0436640033838472,0.734188055203651,NA,0.54963,46.99,478.44,0.17,0.03,0.14,0.0145807252007627,0.000419130895698262,0.0205588348003703,0.000987235859958972,0.00236993589585616,0.00183491990402832,0.00165661180881728,NA,0.0100992069084376,0.0213096347838919,NA,0.0282710159848572,2.52699796776669,26.0382241789767,0.0357012876490377,0.00986531371603149,0.0306234002380609,300
"implant","B_abund","maaslin3","abundance",0.08,0.00673888788711516,0.242334776334776,0.0201495693973575,0.145392402423468,0.0518245322056094,0.0642397279636793,NA,-0.0105509032860721,0.874992814956669,NA,13.54428,47.12,479.74,0.46,0.33,0.13,0.0136466803310538,0.000904658150437746,0.0204089909770382,0.00159879311209951,0.00383114412838882,0.00109461158224202,0.00222277159815386,NA,0.00853031690836924,0.00769358902384398,NA,0.664672447913545,2.52365769480235,26.0098805769157,0.053267796969463,0.0417469683276342,0.0194489297794305,300
"implant","B_abund","maaslin3","combined",0.116666666666667,0.00944680652132684,0.302781010656011,0.0261107643111394,0.141955231582875,0.0575482856565598,0.0999731916807267,NA,NA,NA,NA,13.54428,47.13,479.83,0.68,0.47,0.21,0.0154818554567436,0.00100890754770088,0.0208557142272021,0.00173758779862085,0.00352726163135807,0.00143035317518098,0.00261885179358704,NA,NA,NA,NA,0.664672447913545,2.52470939418453,26.0139916751785,0.061682106597031,0.0458695255908149,0.0249346973198951,300
"implant","B_abund","maaslin3","presence",0.02,NA,0.23,NA,NA,0.0446987994763476,0.0759471102793459,0.0620007890204848,NA,NA,NA,13.54428,0,478.98,0.02,NA,0.02,0.00809640904752736,NA,0.024337372337779,NA,NA,0.00156821005114413,0.00239339663772257,0.00380890372078334,NA,NA,NA,0.664672447913545,0,26.0285101983155,0.00809640904752736,NA,0.00809640904752736,300
"implant","B_abund","pursue","abundance",0.0666666666666667,0.00479453942214345,0.119166666666667,0.00839574740056958,0.143905936095482,0.0542048016197416,0.0657546953785793,NA,-0.0113586585940974,0.864970327931829,0.942732462018922,18.63223,47.12,479.74,0.24,0.15,0.09,0.0139009609371383,0.00103518127866897,0.0174329820419874,0.00128554948267064,0.00386334120115106,0.00124798171615964,0.00219375206888692,NA,0.0078540116502558,0.00773785964010588,0.00125645975652633,0.998861294613315,2.52365769480235,26.0098805769157,0.0348143667726309,0.0263434988775289,0.0184608416813883,300
"implant","B_abund","pursue","combined",0.0483333333333333,0.00347510776019211,0.101904761904762,0.00554025503122173,0.124412046209943,0.0457637537862222,0.108981742749491,NA,NA,NA,NA,18.63223,47.13,479.83,0.18,0.12,0.06,0.0117491905364101,0.000745240889236208,0.0166684639442286,0.00108159387400367,0.00332505256047653,0.00110986529193656,0.00288302944937102,NA,NA,NA,NA,0.998861294613315,2.52470939418453,26.0139916751785,0.0287766162966557,0.0220670913746948,0.0137342186724184,300
"implant","B_abund","pursue","presence",0.02,NA,0.07,NA,NA,0.0346002154192144,0.187455324600846,0.0365153460137078,NA,NA,NA,18.63223,0,478.43,0.02,NA,0.02,0.00809640904752736,NA,0.014755532945589,NA,NA,0.000952305808925322,0.0041106935015462,0.00237325223114606,NA,NA,NA,0.998861294613315,0,26.0380327116247,0.00809640904752736,NA,0.00809640904752736,300
